Class,I think brands should consider environmental susta...,Make an effort to cut down on the use of gas / ele...,Fuel consumption is the most important feature whe...,I don't like the idea of being in debt,I am very good at managing money,It is important to be well insured for everything,Healthy Eating,Financial security after retirement is your own re...,Switching utilities suppliers is well worth the ef...,I like to use cash when making purchases
Exclusive Addresses,0.301812902536207,0.723171190218597,0.133986148465831,0.423471076424604,0.626235071846695,0.0845683842508036,0.461823705978873,0.564014450121412,0.274610318045161,0.276289573716268
Flourishing Capital,0.310480485875605,0.713436125470786,0.140701095365986,0.423471076424604,0.564311976215716,0.155921701240193,0.501012045088033,0.637214408701515,0.331982759860422,0.398644400053466
Upmarket Families,0.301812902536207,0.729178836198526,0.118318286863489,0.423471076424604,0.70036366150133,0.131380830951526,0.438537127652314,0.712324810223228,0.341291489313175,0.266766047260569
Commuter-Belt Wealth,0.259664492465409,0.768593824482715,0.116554809046702,0.430870790762023,0.636579952481786,0.111516412318893,0.418208177355704,0.684174941537282,0.344878663942079,0.285401424490113
Prosperous Professionals,0.340149043063845,0.710788743301503,0.11862942709064,0.430870790762023,0.548488649911735,0.111781390124683,0.443605612100712,0.597941626763632,0.342585682877493,0.28718824004229
Mature Success,0.224924972485254,0.771176932627502,0.125373587169234,0.412803808922664,0.645067672399548,0.109867019679045,0.408449414575746,0.673909826020377,0.324134048396851,0.314586176528302
Settled Suburbia,0.245939884309262,0.746625789817449,0.123404287579355,0.423214655050055,0.580661570733393,0.113942822724916,0.371352711278197,0.635809477024125,0.332699685968255,0.315265818965245
Metropolitan Surroundings,0.253539933113432,0.663584917050384,0.166282507402223,0.440589792307703,0.536331479850493,0.128817821076565,0.39455552869774,0.550898795887735,0.294477944636016,0.325452149742041
Up-and-Coming Urbanites,0.308328118195765,0.698102495817071,0.100767680051796,0.476589608626514,0.523211898565223,0.112742551434867,0.460016380507508,0.528882441221288,0.335651768880631,0.291692589681414
Aspiring Communities,0.264814169830893,0.732869237710215,0.133818022677122,0.43096257729956,0.579748486756676,0.105235665173171,0.381313202920659,0.628692541770358,0.337354148504577,0.304817499865538
Semi-Rural Maturity,0.229196833837691,0.765202659834203,0.148305783417126,0.435040522455506,0.625857937922183,0.115015110282787,0.38768249205921,0.669418149676879,0.32996995267366,0.357419656028854
Traditional Homeowners ,0.232733206815956,0.757494238414984,0.144555496850074,0.435040522455506,0.581687823653706,0.139630760204442,0.358108944979098,0.619680407814336,0.324418254476588,0.339166107007182
Family Renters,0.248976712286783,0.723394118656398,0.148305783417126,0.446626187852856,0.509730053832474,0.124770223087782,0.338891659230377,0.562375979292414,0.316692838145265,0.364443429666378
Urban Diversity ,0.278079322366291,0.659999374571109,0.207574810600929,0.435040522455506,0.512407138326009,0.133134152318156,0.362492155715176,0.469326683099382,0.321702903471825,0.419485302567735
Stable Seniors,0.241852114528486,0.77324284276656,0.14370500126265,0.435040522455506,0.573571357255388,0.124770223087782,0.359982048710382,0.597934574539423,0.315718436972963,0.371428223181329
Tenant Living,0.327235357728106,0.737238734600622,0.148747033732463,0.471019468066591,0.514540598865529,0.103386172371205,0.388705211993208,0.546667090541517,0.340124314270579,0.333020324197257
Limited Budgets ,0.250655161196743,0.72955090748082,0.155472638712596,0.42014657669932,0.514540598865529,0.126854007462968,0.315027877455134,0.510197119925496,0.328333692737318,0.418706245579047
Hard-Up Households,0.247786979951084,0.731433024561332,0.165135729620829,0.444390699057086,0.514540598865529,0.1189520624836,0.315938447278266,0.550199090122081,0.321598149391737,0.419457568877679
Cash-Strapped Families,0.271035494893391,0.723634628113742,0.188814101034811,0.438864466717541,0.487123423338846,0.123855661205664,0.314003751306602,0.476439091779764,0.314707851812827,0.413470174324515
Constrained Penisoners,0.214078760274349,0.723634628113742,0.190014834001891,0.410709376913742,0.487123423338846,0.109790859670991,0.330970557117818,0.50179389381334,0.287122379414947,0.441254871632084
Challenging Circumstances,0.260844514087217,0.707442356871902,0.188814101034811,0.414826479868528,0.466807359181831,0.120662271210566,0.330350826233246,0.497432765519267,0.287892553389973,0.504406992915273
Not Private Households,0.350363655106457,0.60797144074958,0.186757742888989,0.438692093263693,0.533291920080892,0.175207902816103,0.196463969723703,0.514539092271555,0.342867840823562,0.515568907705156
