Demographic,Concept,Question,Answer,Value,Predicted,,
"Asset Rich 
Greys",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.107527728,0,,
"Asset Rich 
Greys",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.155250426,0,,
"Asset Rich 
Greys",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.331326763,0,,
"Asset Rich 
Greys",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.685049299,1,,
"Asset Rich 
Greys",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.226437977,0,,
"Asset Rich 
Greys",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.492604439,1,,
"Asset Rich 
Greys",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.055738352,0,,
"Asset Rich 
Greys",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.793630373,1,,
"Asset Rich 
Greys",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.373867304,0,,
"Asset Rich 
Greys",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.775755952,0,,
"Budgeting 
Elderly",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.090118324,0,,
"Budgeting 
Elderly",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.158948032,0,,
"Budgeting 
Elderly",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.201761234,0,,
"Budgeting 
Elderly",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.652571765,1,,
"Budgeting 
Elderly",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.231447945,0,,
"Budgeting 
Elderly",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.518323519,1,,
"Budgeting 
Elderly",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.056324105,0,,
"Budgeting 
Elderly",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.873624349,1,,
"Budgeting 
Elderly",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.16182389,0,,
"Budgeting 
Elderly",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.323625454,0,,
"Constrained 
Parents",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.130949973,1,,
"Constrained 
Parents",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.203250483,1,,
"Constrained 
Parents",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.460884177,1,,
"Constrained 
Parents",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.301122289,0,,
"Constrained 
Parents",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.218833222,0,,
"Constrained 
Parents",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.374821256,0,,
"Constrained 
Parents",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.090821734,0,,
"Constrained 
Parents",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.721507075,0,,
"Constrained 
Parents",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.450223448,0,,
"Constrained 
Parents",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.829111258,1,,
"Families 
Juggling Finances",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.131553072,1,,
"Families 
Juggling Finances",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.161108726,0,,
"Families 
Juggling Finances",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.511572032,1,,
"Families 
Juggling Finances",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.471279526,0,,
"Families 
Juggling Finances",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.285897013,1,,
"Families 
Juggling Finances",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.3750477,0,,
"Families 
Juggling Finances",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.133329883,1,,
"Families 
Juggling Finances",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.716954712,0,,
"Families 
Juggling Finances",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.586592579,1,,
"Families 
Juggling Finances",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.875156701,1,,
High Income Professionals,Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.08957752,0.15,0.06042248,0.9
High Income Professionals,Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.130063898,0.16,0.029936102,
High Income Professionals,Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.470365848,0.4,0.070365848,
High Income Professionals,Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.600192177,0.58,0.020192177,
High Income Professionals,Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.242423289,0.216,0.026423289,
High Income Professionals,Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.421976282,0.36,0.061976282,
High Income Professionals,Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.083061756,0.15,0.066938244,
High Income Professionals,Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.724018044,0.66,0.064018044,
High Income Professionals,Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.566521256,0.424,0.142521256,
High Income Professionals,Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.894728547,0.8,0.094728547,
"Mid-Life 
Pressed Renters",Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.107919706,0,,
"Mid-Life 
Pressed Renters",Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.171005756,1,,
"Mid-Life 
Pressed Renters",Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.322671024,0,,
"Mid-Life 
Pressed Renters",Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.324635157,0,,
"Mid-Life 
Pressed Renters",Environmental - Climate change is the biggest threat to civilisation,Environmental,Climate change is the biggest threat to civilisation,0.262484955,0,,
"Mid-Life 
Pressed Renters",Environmental - I always make an effort to recycle,Environmental,I always make an effort to recycle,0.424190466,1,,
"Mid-Life 
Pressed Renters",Environmental - I consider myself an environmentalist,Environmental,I consider myself an environmentalist,0.080280302,0,,
"Mid-Life 
Pressed Renters",Financial Attitudes - I hate to borrow - I would much rather save up in advance,Financial Attitudes,I hate to borrow - I would much rather save up in advance,0.753246842,0,,
"Mid-Life 
Pressed Renters",Financial Attitudes - I trust financial price comparison sites,Financial Attitudes,I trust financial price comparison sites,0.355192142,0,,
"Mid-Life 
Pressed Renters",Financial Attitudes - I would be happy to use the Internet to carry out day to day banking transactions,Financial Attitudes,I would be happy to use the Internet to carry out day to day banking transactions,0.68405998,0,,
Older Working Families,Attitudes - I like to look out for where my products are made or grown,Attitudes,I like to look out for where my products are made or grown,0.073210455,0,,
Older Working Families,Attitudes - I make an effort to support local businesses,Attitudes,I make an effort to support local businesses,0.137001254,0,,
Older Working Families,Attitudes - Prefers to buy from brands which have a social and environmental commitment,Attitudes,Prefers to buy from brands which have a social and environmental commitment,0.40351056,0,,
Older Working Families,Contentment - Satisfied with: Life overall,Contentment,Satisfied with: Life overall,0.504616381,0,,
