Demographic,R²,MAE,MAE_Percent,Above_Threshold,Model
high_income_professionals,0.92,0.0333,3.33%,YES,GPT-4o
families_juggling_finances,0.9062,0.0397,3.97%,YES,GPT-4o
young_dependents,0.9,0.0427,4.27%,YES,GPT-4o
mid_life_pressed_renters,0.8867,0.0429,4.29%,YES,GPT-4o
budgeting_elderly,0.88,0.0386,3.86%,YES,GPT-4o
rising_metropolitans,0.8659,0.0449,4.49%,YES,GPT-4o
constrained_parents,0.85,0.0539,5.39%,YES,GPT-4o
starting_out,0.848,0.0376,3.76%,YES,GPT-4o
secure_homeowners,0.84,0.0528,5.28%,YES,GPT-4o
older_working_families,0.7478,0.0754,7.54%,YES,GPT-4o
asset_rich_greys,0.73,0.0631,6.31%,YES,GPT-4o
road_to_retirement,0.68,0.071,7.10%,NO,GPT-4o
