Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0669554206255826
Population,Age,Age 5 - 17,0.193350070757125
Population,Age,Age 18 - 24,0.0895656380880403
Population,Age,Age 25 - 34,0.152960586897669
Population,Age,Age 35 - 49,0.199630326227085
Population,Age,Age 50 - 64,0.170209866682697
Population,Age,Age 65 - 74,0.0708075091297207
Population (16+),Geography,England,0.813620319069148
Population (16+),Geography,Wales,0.0626022337311198
Population (16+),Geography,Scotland,0.0550346867137747
Population (16+),Geography,Northern Ireland,0.0687427604859575
Population (16+),Ethnicity,White,0.845792163093877
Population (16+),Ethnicity,Mixed,0.0209414222146167
Population (16+),Ethnicity,Asian,0.074939347371952
Population (16+),Ethnicity,Black,0.0228693329963466
Population (16+),Ethnicity,Other ethnicity,0.035457734323207
Population (16+),Country of Birth,UK / ROI,0.870778269249797
Population (16+),Country of Birth,Rest of Europe,0.0170023319427256
Population (16+),Country of Birth,Australia and New Zealand,0.00104958405982864
Population (16+),Country of Birth,North America,0.000317320505065463
Population (16+),Country of Birth,Middle East and Asia,0.0413168762224165
Population (16+),Country of Birth,Africa,0.011572685090139
Population (16+),Country of Birth,Other,0.0579629329300274
Population (16+),Religion,Christian,0.347960677761022
Population (16+),Religion,Jewish,0.00313248866589506
Population (16+),Religion,Buddhist,0.00435511252573047
Population (16+),Religion,Muslim,0.0723180755682715
Population (16+),Religion,Hindu,0.0111046570846253
Population (16+),Religion,Sikh,0.00183280344804383
Population (16+),Religion,Other religion,0.0125179367204347
Population (16+),Religion,No religion,0.546778248225976
Housing,House Type,Detached house,0.0841541600959082
Housing,House Type,Flat or maisonette,0.260597353306022
Housing,House Type,Semi-detached house,0.321465073907382
Housing,House Type,Terraced house,0.333783412690686
Housing,House Type,Bungalow,0.032869055317608
Housing,House Tenure,Owned outright,0.204692940657556
Housing,House Tenure,Mortgaged: full ownership,0.188888969704409
Housing,House Tenure,Mortgaged: shared ownership,0.0377565630966694
Housing,House Tenure,Privately rented,0.173378859760964
Housing,House Tenure,Social renting,0.3952826667804
Housing,House Size,Number of beds: 1,0.148983606601444
Housing,House Size,Number of beds: 2,0.386748850147152
Housing,House Size,Number of beds: 3,0.390057855602882
Housing,House Size,Number of beds: 4,0.051319266736839
Housing,House Size,Number of beds: 5+,0.0228904209116825
Housing,House Value,House value up to 100k,0.328181060301606
Housing,House Value,House value 100k - 150k,0.289043926780622
Housing,House Value,House value 150k - 250k,0.204161254382114
Housing,House Value,House value 250k - 500k,0.148145742060039
Housing,House Value,House value 500k - 750k,0.0240437523117334
Housing,House Value,House value 750k - 1m,0.0043004837051616
Housing,House Value,House value 1m+,0.00212378045872133
Housing,House Move,Individual likely to move,0.206801987774341
Housing,House Move,Individual moves to a property on their own,0.0669678723081208
Housing,House Move,Individual moves to a property with one other person in the household,0.104752676900109
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0350814385661111
Housing,House Move,Individual moves to owner occupied housing,0.0584674789566218
Housing,House Move,Individual moves to private renting,0.0507837475045802
Housing,House Move,Individual moves to social renting,0.0975507613131393
Housing,House Move,Individual moves to flat,0.0496214203306437
Housing,House Move,Individual moves to terraced house,0.0875304336085411
Housing,House Move,Individual moves to semi-detached,0.0514460465730738
Housing,House Move,Individual moves to detached house,0.0182040872620827
Housing,Gentrification,Proportion of addresses applied for extension,0.00197398669987686
Housing,Gentrification,Churn rate within last 5 years,0.0751737250451017
Housing,Gentrification,Annualised Price % change in last 5 years,0.142268353328813
Family,Structure,"Single person, no children",0.205239125832479
Family,Structure,Single parent,0.0671794948938221
Family,Structure,"Couple, no children",0.15505234046056
Family,Structure,Couple with children,0.144865028429048
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.427664010384089
Family,Number of Children by Age,Children aged 0 - 5: 0,0.863919239648252
Family,Number of Children by Age,Children aged 0 - 5: 1,0.111663370390994
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0244173899607532
