Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0556904625245754
Population,Age,Age 5 - 17,0.13476470348891
Population,Age,Age 18 - 24,0.0976368627593568
Population,Age,Age 25 - 34,0.157113954690304
Population,Age,Age 35 - 49,0.197227207287227
Population,Age,Age 50 - 64,0.184430668062196
Population,Age,Age 65 - 74,0.0896294487917674
Population (16+),Geography,England,0.783922446847442
Population (16+),Geography,Wales,0.0488388912109436
Population (16+),Geography,Scotland,0.14741524764194
Population (16+),Geography,Northern Ireland,0.019823414299674
Population (16+),Ethnicity,White,0.853666361635216
Population (16+),Ethnicity,Mixed,0.0200130768831955
Population (16+),Ethnicity,Asian,0.0325610748498682
Population (16+),Ethnicity,Black,0.0233097724572613
Population (16+),Ethnicity,Other ethnicity,0.0704497141744582
Population (16+),Country of Birth,UK / ROI,0.859638987059708
Population (16+),Country of Birth,Rest of Europe,0.0169876904268895
Population (16+),Country of Birth,Australia and New Zealand,0.000373091139326963
Population (16+),Country of Birth,North America,0.00338261404012775
Population (16+),Country of Birth,Middle East and Asia,0.0264250510293003
Population (16+),Country of Birth,Africa,0.0278554240716692
Population (16+),Country of Birth,Other,0.065337142232978
Population (16+),Religion,Christian,0.443444602479527
Population (16+),Religion,Jewish,0.00222881885583542
Population (16+),Religion,Buddhist,0.00561455342158292
Population (16+),Religion,Muslim,0.0367210569444056
Population (16+),Religion,Hindu,0.00422713017899671
Population (16+),Religion,Sikh,0.00134514801275094
Population (16+),Religion,Other religion,0.013953771363034
Population (16+),Religion,No religion,0.492464918743866
Housing,House Type,Detached house,0.0642388777768648
Housing,House Type,Flat or maisonette,0.701677836616953
Housing,House Type,Semi-detached house,0.131145737521083
Housing,House Type,Terraced house,0.102937548085097
Housing,House Type,Bungalow,0.0375332586616484
Housing,House Tenure,Owned outright,0.118750549554425
Housing,House Tenure,Mortgaged: full ownership,0.114870217856443
Housing,House Tenure,Mortgaged: shared ownership,0.0317997435058639
Housing,House Tenure,Privately rented,0.154101452999515
Housing,House Tenure,Social renting,0.58047803608375
Housing,House Size,Number of beds: 1,0.4320898753828
Housing,House Size,Number of beds: 2,0.369045892450985
Housing,House Size,Number of beds: 3,0.137129542356585
Housing,House Size,Number of beds: 4,0.0501942151513959
Housing,House Size,Number of beds: 5+,0.0115404746582325
Housing,House Value,House value up to 100k,0.367258394351672
Housing,House Value,House value 100k - 150k,0.263399859061709
Housing,House Value,House value 150k - 250k,0.239198549186474
Housing,House Value,House value 250k - 500k,0.116680910340111
Housing,House Value,House value 500k - 750k,0.0103996443366751
Housing,House Value,House value 750k - 1m,0.00201289220043738
Housing,House Value,House value 1m+,0.00104975052291937
Housing,House Move,Individual likely to move,0.311852017252768
Housing,House Move,Individual moves to a property on their own,0.151621609559026
Housing,House Move,Individual moves to a property with one other person in the household,0.13802349922598
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0222069084677612
Housing,House Move,Individual moves to owner occupied housing,0.0540701118653227
Housing,House Move,Individual moves to private renting,0.0652319108817966
Housing,House Move,Individual moves to social renting,0.192549994505648
Housing,House Move,Individual moves to flat,0.158740711263236
Housing,House Move,Individual moves to terraced house,0.0854360722818742
Housing,House Move,Individual moves to semi-detached,0.050318733240904
Housing,House Move,Individual moves to detached house,0.0173565004667537
Housing,Gentrification,Proportion of addresses applied for extension,0.000404202717200758
Housing,Gentrification,Churn rate within last 5 years,0.0299651051896748
Housing,Gentrification,Annualised Price % change in last 5 years,0.116496944721685
Family,Structure,"Single person, no children",0.539933623135962
Family,Structure,Single parent,0.0617712992039075
Family,Structure,"Couple, no children",0.152367179014524
Family,Structure,Couple with children,0.0737042001935806
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.172223698452025
Family,Number of Children by Age,Children aged 0 - 5: 0,0.915957664512537
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0756992615173569
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.00834307397010571
Family,Number of Children by Age,Children aged 6 - 15: 0,0.870782302533265
Family,Number of Children by Age,Children aged 6 - 15: 1,0.0945545233790741
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0346631740876606
Family,Children in household,Children at home: 0,0.754550698087941
Family,Children in household,Children at home: 1,0.136945086850462
Family,Children in household,Children at home: 2,0.0674914935328252
Family,Children in household,Children at home: 3+,0.0410127215287704
Family,Household Size,Household size: 1 person,0.369488501255488
Family,Household Size,Household size: 2 persons,0.320992493796358
Family,Household Size,Household size: 3 - 4 persons,0.244082894289233
Family,Household Size,Household size: 5+ persons,0.0654361106589194
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.0576519594684362
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.16633169363763
Economy,NS SEC (% of people in employment),Intermediate occupations,0.142667320951526
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.0754025583670902
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.103469071393966
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.31339033109988
Economy,NS SEC (% of people in employment),Routine occupations,0.141087065081468
Economy,Social Grade,A,0.0233591749239208
Economy,Social Grade,B,0.126049431460702
Economy,Social Grade,C1,0.261020420719704
Economy,Social Grade,C2,0.179273373223483
Economy,Social Grade,D,0.199076648401077
Economy,Social Grade,E,0.211220951271112
Economy,Occupation,Director / managerial,0.0234497312746498
Economy,Occupation,Professional,0.105541017646453
Economy,Occupation,Looking after home,0.227072493086517
Economy,Occupation,Office worker,0.0306257071802227
Economy,Occupation,Retired,0.147988976601604
Economy,Occupation,Self employed,0.0421919519729039
Economy,Occupation,Shop worker,0.0882953361124941
Economy,Occupation,Skilled / manual worker,0.140635832414522
Economy,Occupation,Student,0.0650572383492294
Economy,Occupation,Unemployed,0.129141715361402
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.11259628655987
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.0674983716834505
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.0942382835894254
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.287696649918837
Education,Highest Level of Qualifications (Adults),None of the above,0.437970408248416
Transport,Travel To Work (% of Workers),Train / tube / tram,0.0928630631702185
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.468011904429672
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.1067772185637
Transport,Travel To Work (% of Workers),Bicycle,0.0808557676383648
Transport,Travel To Work (% of Workers),On foot,0.22852131743177
Transport,Travel To Work (% of Workers),Other (inc taxi / minicab),0.020194283944979
Transport,Travel To Work (% of Workers),Works mainly from home,0.00277644482129442
Transport,Car Ownership,Number of cars: 0,0.511817457646562
Transport,Car Ownership,Number of cars: 1,0.407592126240334
Transport,Car Ownership,Number of cars: 2,0.065610701877368
Transport,Car Ownership,Number of cars: 3+,0.014979714235735
Transport,Car Ownership,Less than 3 years old,0.0878005335336673
Transport,Car type,Main car: Company car,0.00749756661998979
Transport,Car type,Main car: Privately owned,0.480684975733448
Transport,Car type,Main car class: Saloon,0.0683531344977793
Transport,Car type,Main car class: Hatchback,0.253305448059715
Transport,Car type,Main car class: Estate,0.0441667157579148
Transport,Car type,Main car class: Luxury,0.0121158342200136
Transport,Car type,Main car class: Other,0.110241409818015
Transport,Car type,Bought main car new,0.147739109327245
Transport,Car type,Bought main car used,0.340443433026192
Transport,Car type,Main car uses: Traditional fuel,0.413916049506904
Transport,Car type,Main car uses: Mild hybrid (i.e. engine and electric motor power the car and can't be used independently of each other),0.0197796757115975
Transport,Car type,"Main car uses: Full hybrid (i.e. engine and electric motor power the car, either simultaneously or independently)",0.0278397333861551
Transport,Car type,Main car uses: Plug-in hybrid (i.e. engine and electric motor power the car that charges using a plug - in),0.00533089210813162
Transport,Car type,Main car uses: Electric,0.0190056080072576
Transport,Car type,Main car uses: Other alternative fuels,0.00231058363339145
Transport,Mileage,"Yearly mileage: 0 - 5,000 miles",0.311095052313032
Transport,Mileage,"Yearly mileage: 5,000 - 10,000 miles",0.103351006577459
Transport,Mileage,"Yearly mileage: 10,000+ miles",0.0737364834629458
Finance,Household Annual Gross Income,"£0 - £20,000",0.46410877552733
Finance,Household Annual Gross Income,"£20,000 - £40,000",0.395639725961896
Finance,Household Annual Gross Income,"£40,000 - £60,000",0.0748318365488713
Finance,Household Annual Gross Income,"£60,000 - £80,000",0.0438413558232192
Finance,Household Annual Gross Income,"£80,000 - £100,000",0.0180726636004618
Finance,Household Annual Gross Income,"£100,000+",0.00350564253821994
Finance,Household Annual Gross Income,Average (Mean) Household Income,24593.2892120004
Finance,Disposable Income,Income after Income tax and National Insurance,21778.6293673778
Finance,Disposable Income,Disposable Income after all modelled outgoings,9590.73751322615
Finance,Outgoings,"Income tax, NI",2814.6598982912997
Finance,Outgoings,"Mortgage, social rent, private rent",4796.57829262666
Finance,Outgoings,"Council tax, utilities, water, structure insurance, NI domestic rates",1582.05686021095
Finance,Outgoings,Food,3738.4712451443
Finance,Outgoings,Clothing,850.5053113318411
Finance,Outgoings,Childcare,529.638171147389
Finance,Outgoings,Student loans,13.038847740844199
Finance,Outgoings,Pension,372.41859972980103
Finance,Outgoings,Travel to work,305.184631662962
Finance,Outgoings,Total Expenditure,271.282858158795
Finance,Outgoings,> Food and non-alcoholic beverages,44.2466100479056
Finance,Outgoings,> Alcoholic beverages (off-sales),4.88567875884381
Finance,Outgoings,> Tobacco,5.03520983359874
Finance,Outgoings,> Clothing and footwear,8.42184706281479
Finance,Outgoings,"> Housing, water, electricity, gas and other fuels",85.8336442899408
Finance,Outgoings,"> Furnishings, household equipment and routine maintenance",21.8418570574413
Finance,Outgoings,> Health,3.430626697298
Finance,Outgoings,> Transport,26.9670207090042
Finance,Outgoings,> Communication,14.4730492259561
Finance,Outgoings,> Recreation and Culture,26.7621139564474
Finance,Outgoings,> Education,1.83552329062165
Finance,Outgoings,> Restaurants and hotels,11.1573634566821
Finance,Outgoings,> Miscellaneous goods and services,16.3923137722409
Finance,Outgoings,Total Online Expenditure,16.6723700224935
Finance,Financial Attitudes,I don't like the idea of being in debt,0.414826479868528
Finance,Financial Attitudes,I am very good at managing money,0.466807359181831
Finance,Financial Attitudes,It is important to be well insured for everything,0.120662271210566
