Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0617267039793839
Population,Age,Age 5 - 17,0.173397597168154
Population,Age,Age 18 - 24,0.0815464596294845
Population,Age,Age 25 - 34,0.154518117123213
Population,Age,Age 35 - 49,0.21384284156219
Population,Age,Age 50 - 64,0.175679645148692
Population,Age,Age 65 - 74,0.0732751391312632
Population (16+),Geography,England,0.964242821368534
Population (16+),Geography,Wales,0.0249299688873744
Population (16+),Geography,Scotland,0.00786534085781838
Population (16+),Geography,Northern Ireland,0.00296186888627317
Population (16+),Ethnicity,White,0.909618733566028
Population (16+),Ethnicity,Mixed,0.0139788780989477
Population (16+),Ethnicity,Asian,0.0474711405523488
Population (16+),Ethnicity,Black,0.0106344543904161
Population (16+),Ethnicity,Other ethnicity,0.0182967933922588
Population (16+),Country of Birth,UK / ROI,0.898053218129604
Population (16+),Country of Birth,Rest of Europe,0.0127459594206099
Population (16+),Country of Birth,Australia and New Zealand,0.000775912048614476
Population (16+),Country of Birth,North America,0.00234562158184444
Population (16+),Country of Birth,Middle East and Asia,0.0312266238516094
Population (16+),Country of Birth,Africa,0.0084852699394963
Population (16+),Country of Birth,Other,0.0463673950282207
Population (16+),Religion,Christian,0.340688804951429
Population (16+),Religion,Jewish,0.00170182608886755
Population (16+),Religion,Buddhist,0.00276380433845936
Population (16+),Religion,Muslim,0.0201534127639955
Population (16+),Religion,Hindu,0.00504998559800133
Population (16+),Religion,Sikh,0.00665374792976236
Population (16+),Religion,Other religion,0.0190845632382936
Population (16+),Religion,No religion,0.60390385509119
Housing,House Type,Detached house,0.0885853235855938
Housing,House Type,Flat or maisonette,0.0686728450261361
Housing,House Type,Semi-detached house,0.357081088902058
Housing,House Type,Terraced house,0.485660742486211
Housing,House Type,Bungalow,0.030281333292125
Housing,House Tenure,Owned outright,0.316388795932874
Housing,House Tenure,Mortgaged: full ownership,0.307090229744028
Housing,House Tenure,Mortgaged: shared ownership,0.0302878408223652
Housing,House Tenure,Privately rented,0.187595724634217
Housing,House Tenure,Social renting,0.158637408866514
Housing,House Size,Number of beds: 1,0.0302491828277489
Housing,House Size,Number of beds: 2,0.247010015680569
Housing,House Size,Number of beds: 3,0.58116836769283
Housing,House Size,Number of beds: 4,0.120682707635821
Housing,House Size,Number of beds: 5+,0.0208897261630289
Housing,House Value,House value up to 100k,0.0164497049589382
Housing,House Value,House value 100k - 150k,0.0753349463306353
Housing,House Value,House value 150k - 250k,0.366716455679774
Housing,House Value,House value 250k - 500k,0.492753011165563
Housing,House Value,House value 500k - 750k,0.0415314174082259
Housing,House Value,House value 750k - 1m,0.00508687629118836
Housing,House Value,House value 1m+,0.0021275881656737
Housing,House Move,Individual likely to move,0.252117388421445
Housing,House Move,Individual moves to a property on their own,0.0698741121870077
Housing,House Move,Individual moves to a property with one other person in the household,0.14153268597673
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0407105902577071
Housing,House Move,Individual moves to owner occupied housing,0.139443530770658
Housing,House Move,Individual moves to private renting,0.072198598294641
Housing,House Move,Individual moves to social renting,0.0404752593561454
Housing,House Move,Individual moves to flat,0.0225865868117865
Housing,House Move,Individual moves to terraced house,0.113418823421414
Housing,House Move,Individual moves to semi-detached,0.0744309671915533
Housing,House Move,Individual moves to detached house,0.0416810109966912
Housing,Gentrification,Proportion of addresses applied for extension,0.00701616206353649
Housing,Gentrification,Churn rate within last 5 years,0.160601326184649
Housing,Gentrification,Annualised Price % change in last 5 years,0.101925324651796
Family,Structure,"Single person, no children",0.153757395022213
Family,Structure,Single parent,0.025360328636138
Family,Structure,"Couple, no children",0.201631548644007
Family,Structure,Couple with children,0.218239126978016
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.401011600719624
Family,Number of Children by Age,Children aged 0 - 5: 0,0.858042878073214
Family,Number of Children by Age,Children aged 0 - 5: 1,0.106806395902068
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0351507260247162
Family,Number of Children by Age,Children aged 6 - 15: 0,0.70793169172009
