Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0494919731909973
Population,Age,Age 5 - 17,0.136800561023722
Population,Age,Age 18 - 24,0.0834726901874793
Population,Age,Age 25 - 34,0.177778036970996
Population,Age,Age 35 - 49,0.223622189596275
Population,Age,Age 50 - 64,0.188443027953502
Population,Age,Age 65 - 74,0.0779586784450545
Population (16+),Geography,England,0.952776744312354
Population (16+),Geography,Wales,0.00701710149678681
Population (16+),Geography,Scotland,0.03678631839507
Population (16+),Geography,Northern Ireland,0.00341983579578845
Population (16+),Ethnicity,White,0.89141823856728
Population (16+),Ethnicity,Mixed,0.0196614908366385
Population (16+),Ethnicity,Asian,0.041111983070089
Population (16+),Ethnicity,Black,0.0126436850346511
Population (16+),Ethnicity,Other ethnicity,0.0351646024913405
Population (16+),Country of Birth,UK / ROI,0.885704236506818
Population (16+),Country of Birth,Rest of Europe,0.0126006015721323
Population (16+),Country of Birth,Australia and New Zealand,0.00837050665529771
Population (16+),Country of Birth,North America,0.0212003327269136
Population (16+),Country of Birth,Middle East and Asia,0.0147683429740137
Population (16+),Country of Birth,Africa,0.0117280835320388
Population (16+),Country of Birth,Other,0.0456278960327856
Population (16+),Religion,Christian,0.401528946214568
Population (16+),Religion,Jewish,0.025085371494065
Population (16+),Religion,Buddhist,0.00936053385332207
Population (16+),Religion,Muslim,0.0290630423522111
Population (16+),Religion,Hindu,0.00311838164830856
Population (16+),Religion,Sikh,0.00127362474257331
Population (16+),Religion,Other religion,0.00681329993954922
Population (16+),Religion,No religion,0.523756799755402
Housing,House Type,Detached house,0.211420287281943
Housing,House Type,Flat or maisonette,0.294064446159928
Housing,House Type,Semi-detached house,0.226692257864432
Housing,House Type,Terraced house,0.267823008693695
Housing,House Type,Bungalow,0.0633798859159866
Housing,House Tenure,Owned outright,0.454068843357305
Housing,House Tenure,Mortgaged: full ownership,0.263093463343295
Housing,House Tenure,Mortgaged: shared ownership,0.0293570976983608
Housing,House Tenure,Privately rented,0.216537066414108
Housing,House Tenure,Social renting,0.0369435291869294
Housing,House Size,Number of beds: 1,0.058931199881358
Housing,House Size,Number of beds: 2,0.221040564257747
Housing,House Size,Number of beds: 3,0.29145756060727
Housing,House Size,Number of beds: 4,0.323592168547473
Housing,House Size,Number of beds: 5+,0.104978506706151
Housing,House Value,House value up to 100k,0.00088091972285968
Housing,House Value,House value 100k - 150k,0.00155159186837919
Housing,House Value,House value 150k - 250k,0.0073343923800924
Housing,House Value,House value 250k - 500k,0.0641925546464205
Housing,House Value,House value 500k - 750k,0.134120728989389
Housing,House Value,House value 750k - 1m,0.187965177294728
Housing,House Value,House value 1m+,0.60395463509813
Housing,House Move,Individual likely to move,0.313281729620967
Housing,House Move,Individual moves to a property on their own,0.109111123631846
Housing,House Move,Individual moves to a property with one other person in the household,0.151119286691673
Housing,House Move,Individual moves to a property with two or more other people in the household,0.053051319297448
Housing,House Move,Individual moves to owner occupied housing,0.203523987748943
Housing,House Move,Individual moves to private renting,0.0950331505479162
Housing,House Move,Individual moves to social renting,0.0147245913241084
Housing,House Move,Individual moves to flat,0.120381539613691
Housing,House Move,Individual moves to terraced house,0.0767931318700174
Housing,House Move,Individual moves to semi-detached,0.0695223650094143
Housing,House Move,Individual moves to detached house,0.0465846931278444
Housing,Gentrification,Proportion of addresses applied for extension,0.0353578334465831
Housing,Gentrification,Churn rate within last 5 years,0.168672689800037
Housing,Gentrification,Annualised Price % change in last 5 years,0.0759524904865974
Family,Structure,"Single person, no children",0.149623650544337
Family,Structure,Single parent,0.0286446343517017
Family,Structure,"Couple, no children",0.278677867881448
Family,Structure,Couple with children,0.181520767219517
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.361533080002994
Family,Number of Children by Age,Children aged 0 - 5: 0,0.934169824370729
Family,Number of Children by Age,Children aged 0 - 5: 1,0.061091857879013
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.00473831775025696
Family,Number of Children by Age,Children aged 6 - 15: 0,0.732335111863885
Family,Number of Children by Age,Children aged 6 - 15: 1,0.166830939198023
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.100833948938091
Family,Children in household,Children at home: 0,0.68695626156648
Family,Children in household,Children at home: 1,0.142870801934199
Family,Children in household,Children at home: 2,0.119346191763166
Family,Children in household,Children at home: 3+,0.0508267447361526
Family,Household Size,Household size: 1 person,0.123692337341968
Family,Household Size,Household size: 2 persons,0.406306340108507
Family,Household Size,Household size: 3 - 4 persons,0.39532382499095
Family,Household Size,Household size: 5+ persons,0.0746774975585732
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.340525684480214
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.353878990472602
Economy,NS SEC (% of people in employment),Intermediate occupations,0.0562175977492665
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.0973069999874337
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.0318473942132675
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.0576273072365644
Economy,NS SEC (% of people in employment),Routine occupations,0.0625960258606511
Economy,Social Grade,A,0.123874411019309
Economy,Social Grade,B,0.385793588339541
Economy,Social Grade,C1,0.301944495917061
Economy,Social Grade,C2,0.105968416474345
Economy,Social Grade,D,0.0428118502993068
Economy,Social Grade,E,0.0396072379504362
Economy,Occupation,Director / managerial,0.163812293341593
Economy,Occupation,Professional,0.302908676692129
Economy,Occupation,Looking after home,0.0902966453102206
Economy,Occupation,Office worker,0.0484074018659152
Economy,Occupation,Retired,0.0897866961072534
Economy,Occupation,Self employed,0.130172158705612
Economy,Occupation,Shop worker,0.0399638314891881
Economy,Occupation,Skilled / manual worker,0.0512695433475391
Economy,Occupation,Student,0.077469014219359
Economy,Occupation,Unemployed,0.00591373892118953
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.710506563760593
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.0652675773880229
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.0732669258303287
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.112428564065323
Education,Highest Level of Qualifications (Adults),None of the above,0.0385303689557313
Transport,Travel To Work (% of Workers),Train / tube / tram,0.30716106568739
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.307634206916782
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.0651731922616017
Transport,Travel To Work (% of Workers),Bicycle,0.0516416853501094
Transport,Travel To Work (% of Workers),On foot,0.132314026926628
Transport,Travel To Work (% of Workers),Other (inc taxi / minicab),0.0041520764679686
Transport,Travel To Work (% of Workers),Works mainly from home,0.131923746389519
Transport,Car Ownership,Number of cars: 0,0.287380383587133
Transport,Car Ownership,Number of cars: 1,0.509802691091991
Transport,Car Ownership,Number of cars: 2,0.176594143109187
Transport,Car Ownership,Number of cars: 3+,0.0262227822116877
Transport,Car Ownership,Less than 3 years old,0.100552185942263
Transport,Car type,Main car: Company car,0.0267979623579213
Transport,Car type,Main car: Privately owned,0.685821654054945
Transport,Car type,Main car class: Saloon,0.118317480860417
Transport,Car type,Main car class: Hatchback,0.245506766823987
Transport,Car type,Main car class: Estate,0.0708472395279464
Transport,Car type,Main car class: Luxury,0.0329855151336057
Transport,Car type,Main car class: Other,0.24496261406691
Transport,Car type,Bought main car new,0.333027696956351
Transport,Car type,Bought main car used,0.379591919456514
Transport,Car type,Main car uses: Traditional fuel,0.522066622324263
