Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.058187365206673
Population,Age,Age 5 - 17,0.175287892395244
Population,Age,Age 18 - 24,0.0763686443486722
Population,Age,Age 25 - 34,0.135381655829127
Population,Age,Age 35 - 49,0.192262027459451
Population,Age,Age 50 - 64,0.188297135326277
Population,Age,Age 65 - 74,0.0891614068542625
Population (16+),Geography,England,0.864760680390515
Population (16+),Geography,Wales,0.0798111062023458
Population (16+),Geography,Scotland,0.0286472324828438
Population (16+),Geography,Northern Ireland,0.026780980924295
Population (16+),Ethnicity,White,0.939562602798543
Population (16+),Ethnicity,Mixed,0.0140977286247916
Population (16+),Ethnicity,Asian,0.027012596098172
Population (16+),Ethnicity,Black,0.00859226460230887
Population (16+),Ethnicity,Other ethnicity,0.010734807876184
Population (16+),Country of Birth,UK / ROI,0.931795419350922
Population (16+),Country of Birth,Rest of Europe,0.0174450830882051
Population (16+),Country of Birth,Australia and New Zealand,0.000700077757243206
Population (16+),Country of Birth,North America,0.00183550867116114
Population (16+),Country of Birth,Middle East and Asia,0.0130443805147989
Population (16+),Country of Birth,Africa,0.00895719244801182
Population (16+),Country of Birth,Other,0.0262223381696576
Population (16+),Religion,Christian,0.358970594809462
Population (16+),Religion,Jewish,0.00113629251818024
Population (16+),Religion,Buddhist,0.00163037373661083
Population (16+),Religion,Muslim,0.0152656019438449
Population (16+),Religion,Hindu,0.00478889295044979
Population (16+),Religion,Sikh,0.00547282895156078
Population (16+),Religion,Other religion,0.0169227123166086
Population (16+),Religion,No religion,0.595812702773282
Housing,House Type,Detached house,0.0877808191545647
Housing,House Type,Flat or maisonette,0.117345813494145
Housing,House Type,Semi-detached house,0.619850215885715
Housing,House Type,Terraced house,0.175023151465574
Housing,House Type,Bungalow,0.0585139414984041
Housing,House Tenure,Owned outright,0.309300210277623
Housing,House Tenure,Mortgaged: full ownership,0.266387576136966
Housing,House Tenure,Mortgaged: shared ownership,0.0268688072746486
Housing,House Tenure,Privately rented,0.109716267723642
Housing,House Tenure,Social renting,0.287727138587118
Housing,House Size,Number of beds: 1,0.0734734433263148
Housing,House Size,Number of beds: 2,0.236343505059061
Housing,House Size,Number of beds: 3,0.592815217037133
Housing,House Size,Number of beds: 4,0.0788974161350568
Housing,House Size,Number of beds: 5+,0.0184704184424334
Housing,House Value,House value up to 100k,0.0855221238431247
Housing,House Value,House value 100k - 150k,0.255416454933379
Housing,House Value,House value 150k - 250k,0.448458315128107
Housing,House Value,House value 250k - 500k,0.193624527696231
Housing,House Value,House value 500k - 750k,0.0139776710376843
Housing,House Value,House value 750k - 1m,0.00205869820155724
Housing,House Value,House value 1m+,0.000942209159915195
Housing,House Move,Individual likely to move,0.203674078884019
Housing,House Move,Individual moves to a property on their own,0.0606599234439098
Housing,House Move,Individual moves to a property with one other person in the household,0.111731974078124
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0312821813619847
Housing,House Move,Individual moves to owner occupied housing,0.0825890393776542
Housing,House Move,Individual moves to private renting,0.0473247851363798
Housing,House Move,Individual moves to social renting,0.0737602543699852
Housing,House Move,Individual moves to flat,0.0324785415039817
Housing,House Move,Individual moves to terraced house,0.0618016400618997
Housing,House Move,Individual moves to semi-detached,0.0818641998497853
Housing,House Move,Individual moves to detached house,0.0275296974683525
Housing,Gentrification,Proportion of addresses applied for extension,0.00510666612917145
Housing,Gentrification,Churn rate within last 5 years,0.106829582006862
Housing,Gentrification,Annualised Price % change in last 5 years,0.127338415575982
Family,Structure,"Single person, no children",0.158966540563631
Family,Structure,Single parent,0.0471003089010154
