Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0523635975935602
Population,Age,Age 5 - 17,0.145444758374366
Population,Age,Age 18 - 24,0.082965913971644
Population,Age,Age 25 - 34,0.162138664565517
Population,Age,Age 35 - 49,0.22566071557819
Population,Age,Age 50 - 64,0.182257339610776
Population,Age,Age 65 - 74,0.0794600983223313
Population (16+),Geography,England,0.969509157433105
Population (16+),Geography,Wales,0.0075827825564369
Population (16+),Geography,Scotland,0.0212350871791061
Population (16+),Geography,Northern Ireland,0.00167297283135141
Population (16+),Ethnicity,White,0.847288822600664
Population (16+),Ethnicity,Mixed,0.0275792951776124
Population (16+),Ethnicity,Asian,0.0950887949317838
Population (16+),Ethnicity,Black,0.011966222107467
Population (16+),Ethnicity,Other ethnicity,0.0180768651824724
Population (16+),Country of Birth,UK / ROI,0.858525073969806
Population (16+),Country of Birth,Rest of Europe,0.0206205325515137
Population (16+),Country of Birth,Australia and New Zealand,0.00872501179504834
Population (16+),Country of Birth,North America,0.00475229309770811
Population (16+),Country of Birth,Middle East and Asia,0.0439317820949864
Population (16+),Country of Birth,Africa,0.00794814116202181
Population (16+),Country of Birth,Other,0.0554971653289149
Population (16+),Religion,Christian,0.412593098815538
Population (16+),Religion,Jewish,0.045179734785517
Population (16+),Religion,Buddhist,0.00493863978890058
Population (16+),Religion,Muslim,0.0258485785583166
Population (16+),Religion,Hindu,0.0298968592077686
Population (16+),Religion,Sikh,0.0133419729260745
Population (16+),Religion,Other religion,0.0207841025875631
Population (16+),Religion,No religion,0.44741701333032
Housing,House Type,Detached house,0.162324312978128
Housing,House Type,Flat or maisonette,0.204617524285406
Housing,House Type,Semi-detached house,0.417506547787089
Housing,House Type,Terraced house,0.215551614949375
Housing,House Type,Bungalow,0.0597651956031451
Housing,House Tenure,Owned outright,0.471203301603042
Housing,House Tenure,Mortgaged: full ownership,0.290192164918756
Housing,House Tenure,Mortgaged: shared ownership,0.0141322912593474
Housing,House Tenure,Privately rented,0.186893641209464
Housing,House Tenure,Social renting,0.0375786010093891
Housing,House Size,Number of beds: 1,0.0932548921011381
Housing,House Size,Number of beds: 2,0.123574759505751
Housing,House Size,Number of beds: 3,0.395723990663978
Housing,House Size,Number of beds: 4,0.268477351377425
Housing,House Size,Number of beds: 5+,0.118969006351706
Housing,House Value,House value up to 100k,0.00074724597855938
Housing,House Value,House value 100k - 150k,0.00180960804166858
Housing,House Value,House value 150k - 250k,0.0154302422905495
Housing,House Value,House value 250k - 500k,0.253792941309758
Housing,House Value,House value 500k - 750k,0.403447438991968
Housing,House Value,House value 750k - 1m,0.192869829282283
Housing,House Value,House value 1m+,0.131902694105212
Housing,House Move,Individual likely to move,0.270642801181079
Housing,House Move,Individual moves to a property on their own,0.0840454309622019
Housing,House Move,Individual moves to a property with one other person in the household,0.137977842308179
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0486195279106984
Housing,House Move,Individual moves to owner occupied housing,0.180257161614883
Housing,House Move,Individual moves to private renting,0.0785825388919133
Housing,House Move,Individual moves to social renting,0.0118031006742826
Housing,House Move,Individual moves to flat,0.0805857821814934
Housing,House Move,Individual moves to terraced house,0.0664008457203324
Housing,House Move,Individual moves to semi-detached,0.0760401389454487
Housing,House Move,Individual moves to detached house,0.0476160343338052
Housing,Gentrification,Proportion of addresses applied for extension,0.0290006230788161
Housing,Gentrification,Churn rate within last 5 years,0.162460017399396
Housing,Gentrification,Annualised Price % change in last 5 years,0.0809748787573368
Family,Structure,"Single person, no children",0.127574083111509
Family,Structure,Single parent,0.0190827876646406
Family,Structure,"Couple, no children",0.238386442325613
Family,Structure,Couple with children,0.224586988189196
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.39036969870904
Family,Number of Children by Age,Children aged 0 - 5: 0,0.918379830697681
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0530606987256064
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0285594705767117
Family,Number of Children by Age,Children aged 6 - 15: 0,0.783710402329367
Family,Number of Children by Age,Children aged 6 - 15: 1,0.14614661929903
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0701429783716025
Family,Children in household,Children at home: 0,0.714153221768139
Family,Children in household,Children at home: 1,0.144367832331878
Family,Children in household,Children at home: 2,0.0971063591418553
Family,Children in household,Children at home: 3+,0.0443725867581268
Family,Household Size,Household size: 1 person,0.153111057939847
Family,Household Size,Household size: 2 persons,0.394529052255013
Family,Household Size,Household size: 3 - 4 persons,0.374803341228455
Family,Household Size,Household size: 5+ persons,0.077556548576684
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.25260395441897
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.363005811631689
Economy,NS SEC (% of people in employment),Intermediate occupations,0.130364822447489
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.102490355591336
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.029705155449889
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.0946993378226794
Economy,NS SEC (% of people in employment),Routine occupations,0.0271305626379453
Economy,Social Grade,A,0.0670552658365945
Economy,Social Grade,B,0.320088200364387
Economy,Social Grade,C1,0.365937732495493
Economy,Social Grade,C2,0.136531078238869
Economy,Social Grade,D,0.0601126509792958
Economy,Social Grade,E,0.0502750720853578
Economy,Occupation,Director / managerial,0.113381650105807
Economy,Occupation,Professional,0.314434081303682
Economy,Occupation,Looking after home,0.0968915862441142
Economy,Occupation,Office worker,0.0650173764494701
Economy,Occupation,Retired,0.0954357128089767
Economy,Occupation,Self employed,0.0982971798434666
Economy,Occupation,Shop worker,0.0587316186263311
Economy,Occupation,Skilled / manual worker,0.0854142134321815
Economy,Occupation,Student,0.0658401843678688
Economy,Occupation,Unemployed,0.00655639681810135
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.513817610132565
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.0853007737059624
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.129470069211125
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.188652861874515
Education,Highest Level of Qualifications (Adults),None of the above,0.0827586850758317
Transport,Travel To Work (% of Workers),Train / tube / tram,0.288432690851692
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.388857364149947
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.0413169563285144
Transport,Travel To Work (% of Workers),Bicycle,0.0656487722593736
Transport,Travel To Work (% of Workers),On foot,0.146115843151067
