Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0442881306806137
Population,Age,Age 5 - 17,0.136323482970596
Population,Age,Age 18 - 24,0.0589527122024234
Population,Age,Age 25 - 34,0.106657755051717
Population,Age,Age 35 - 49,0.174863405707759
Population,Age,Age 50 - 64,0.219469499348932
Population,Age,Age 65 - 74,0.12903629103777
Population (16+),Geography,England,0.717595016336811
Population (16+),Geography,Wales,0.1101866990032
Population (16+),Geography,Scotland,0.0776589935885721
Population (16+),Geography,Northern Ireland,0.0945592910714163
Population (16+),Ethnicity,White,0.980338192719664
Population (16+),Ethnicity,Mixed,0.00251024121497273
Population (16+),Ethnicity,Asian,0.0141064375007814
Population (16+),Ethnicity,Black,0.00110363039742895
Population (16+),Ethnicity,Other ethnicity,0.00194149816715242
Population (16+),Country of Birth,UK / ROI,0.965505965466993
Population (16+),Country of Birth,Rest of Europe,0.0128394311018413
Population (16+),Country of Birth,Australia and New Zealand,0.00073603539772411
Population (16+),Country of Birth,North America,0.00156945876778129
Population (16+),Country of Birth,Middle East and Asia,0.00667667700679396
Population (16+),Country of Birth,Africa,0.00107720823435221
Population (16+),Country of Birth,Other,0.0115952240245133
Population (16+),Religion,Christian,0.504172432437131
Population (16+),Religion,Jewish,0.000581914556753795
Population (16+),Religion,Buddhist,0.00252828135281291
Population (16+),Religion,Muslim,0.00342226300647341
Population (16+),Religion,Hindu,0.00532616364754948
Population (16+),Religion,Sikh,0.00134163866398144
Population (16+),Religion,Other religion,0.00836229150254492
Population (16+),Religion,No religion,0.474265014832753
Housing,House Type,Detached house,0.543331478582789
Housing,House Type,Flat or maisonette,0.0680904103392563
Housing,House Type,Semi-detached house,0.26948073303367
Housing,House Type,Terraced house,0.119097378044283
Housing,House Type,Bungalow,0.217131808230479
Housing,House Tenure,Owned outright,0.558075068012898
Housing,House Tenure,Mortgaged: full ownership,0.274102416148755
Housing,House Tenure,Mortgaged: shared ownership,0.0155301385997075
Housing,House Tenure,Privately rented,0.112054135331912
Housing,House Tenure,Social renting,0.0402382419067255
Housing,House Size,Number of beds: 1,0.0315148237760544
Housing,House Size,Number of beds: 2,0.265371217763676
Housing,House Size,Number of beds: 3,0.480341237676221
Housing,House Size,Number of beds: 4,0.197119806078153
Housing,House Size,Number of beds: 5+,0.0256529147058952
Housing,House Value,House value up to 100k,0.0229817628838491
Housing,House Value,House value 100k - 150k,0.0782973279011596
Housing,House Value,House value 150k - 250k,0.317919742232536
Housing,House Value,House value 250k - 500k,0.484195210544296
Housing,House Value,House value 500k - 750k,0.0751089185243136
Housing,House Value,House value 750k - 1m,0.0148803975309783
Housing,House Value,House value 1m+,0.00661664038286659
Housing,House Move,Individual likely to move,0.259090569319594
Housing,House Move,Individual moves to a property on their own,0.0751275779441097
Housing,House Move,Individual moves to a property with one other person in the household,0.142286098188416
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0416768931870677
Housing,House Move,Individual moves to owner occupied housing,0.185382620314321
Housing,House Move,Individual moves to private renting,0.0539191100924152
Housing,House Move,Individual moves to social renting,0.0197888389128581
Housing,House Move,Individual moves to flat,0.0269242778252984
Housing,House Move,Individual moves to terraced house,0.0514081389245972
Housing,House Move,Individual moves to semi-detached,0.0796827959776299
Housing,House Move,Individual moves to detached house,0.101075356592068
Housing,Gentrification,Proportion of addresses applied for extension,0.0119874971884599
Housing,Gentrification,Churn rate within last 5 years,0.176110573984832
Housing,Gentrification,Annualised Price % change in last 5 years,0.109336592662601
Family,Structure,"Single person, no children",0.187527982075593
Family,Structure,Single parent,0.0201626440726042
Family,Structure,"Couple, no children",0.359279379350494
Family,Structure,Couple with children,0.168725090097745
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.264304904403562
Family,Number of Children by Age,Children aged 0 - 5: 0,0.923555402641576
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0535946627669585
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0228499345914649
Family,Number of Children by Age,Children aged 6 - 15: 0,0.818540601667999
Family,Number of Children by Age,Children aged 6 - 15: 1,0.113574264152288
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0678851341797115
Family,Children in household,Children at home: 0,0.765865092611563
