Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0505267137493204
Population,Age,Age 5 - 17,0.152861498985925
Population,Age,Age 18 - 24,0.0663477225239281
Population,Age,Age 25 - 34,0.113289780678799
Population,Age,Age 35 - 49,0.19867097127503
Population,Age,Age 50 - 64,0.207343198312639
Population,Age,Age 65 - 74,0.107322642199114
Population (16+),Geography,England,0.917076130657816
Population (16+),Geography,Wales,0.0140315570588061
Population (16+),Geography,Scotland,0.0585018756026201
Population (16+),Geography,Northern Ireland,0.0103904366807567
Population (16+),Ethnicity,White,0.932958549036831
Population (16+),Ethnicity,Mixed,0.0217156946624239
Population (16+),Ethnicity,Asian,0.0247472804151182
Population (16+),Ethnicity,Black,0.0064621690114268
Population (16+),Ethnicity,Other ethnicity,0.0141163068741996
Population (16+),Country of Birth,UK / ROI,0.932614708797806
Population (16+),Country of Birth,Rest of Europe,0.0155525939974963
Population (16+),Country of Birth,Australia and New Zealand,0.00245582530967164
Population (16+),Country of Birth,North America,0.00189236284140472
Population (16+),Country of Birth,Middle East and Asia,0.0140514494172974
Population (16+),Country of Birth,Africa,0.00649483233376041
Population (16+),Country of Birth,Other,0.026938227302563
Population (16+),Religion,Christian,0.446312440916101
Population (16+),Religion,Jewish,0.00724070872627321
Population (16+),Religion,Buddhist,0.00268141894519668
Population (16+),Religion,Muslim,0.00905814735294334
Population (16+),Religion,Hindu,0.00785437485137545
Population (16+),Religion,Sikh,0.00182625444722543
Population (16+),Religion,Other religion,0.00783981391892556
Population (16+),Religion,No religion,0.517186840841958
Housing,House Type,Detached house,0.179108528228949
Housing,House Type,Flat or maisonette,0.0319420229173383
Housing,House Type,Semi-detached house,0.716577479456271
Housing,House Type,Terraced house,0.0723719693974411
Housing,House Type,Bungalow,0.0591074490695743
Housing,House Tenure,Owned outright,0.536201113406655
Housing,House Tenure,Mortgaged: full ownership,0.342858832535956
Housing,House Tenure,Mortgaged: shared ownership,0.0122811563947981
Housing,House Tenure,Privately rented,0.08041999220542
Housing,House Tenure,Social renting,0.0282389054571697
Housing,House Size,Number of beds: 1,0.020144025279423
Housing,House Size,Number of beds: 2,0.0988116132687224
Housing,House Size,Number of beds: 3,0.603988364402772
Housing,House Size,Number of beds: 4,0.240684421936035
Housing,House Size,Number of beds: 5+,0.0363715751130473
Housing,House Value,House value up to 100k,0.00512872081221262
Housing,House Value,House value 100k - 150k,0.0285890553697798
Housing,House Value,House value 150k - 250k,0.238007146041942
Housing,House Value,House value 250k - 500k,0.596279774544946
Housing,House Value,House value 500k - 750k,0.114027131525004
Housing,House Value,House value 750k - 1m,0.0138992910287658
Housing,House Value,House value 1m+,0.00406888067734865
Housing,House Move,Individual likely to move,0.205325305576629
Housing,House Move,Individual moves to a property on their own,0.048637661668763
Housing,House Move,Individual moves to a property with one other person in the household,0.118346157201294
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0383414867065719
Housing,House Move,Individual moves to owner occupied housing,0.146877508359302
Housing,House Move,Individual moves to private renting,0.0444917577985892
Housing,House Move,Individual moves to social renting,0.0139560394187376
Housing,House Move,Individual moves to flat,0.0156893868194223
Housing,House Move,Individual moves to terraced house,0.0408529974640269
Housing,House Move,Individual moves to semi-detached,0.0950671854286537
Housing,House Move,Individual moves to detached house,0.0537157358645264
Housing,Gentrification,Proportion of addresses applied for extension,0.0191052528022049
Housing,Gentrification,Churn rate within last 5 years,0.177138250785556
Housing,Gentrification,Annualised Price % change in last 5 years,0.108837679883129
Family,Structure,"Single person, no children",0.126164272731286
Family,Structure,Single parent,0.0211182769711926
Family,Structure,"Couple, no children",0.301290359031313
Family,Structure,Couple with children,0.19628043797839
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.355146653287817
Family,Number of Children by Age,Children aged 0 - 5: 0,0.882984705196935
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0921812049805429
