Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0442025588875427
Population,Age,Age 5 - 17,0.13125072121366
Population,Age,Age 18 - 24,0.059604389789533
Population,Age,Age 25 - 34,0.11545259861693
Population,Age,Age 35 - 49,0.173730098440116
Population,Age,Age 50 - 64,0.21922375505279
Population,Age,Age 65 - 74,0.128435446688602
Population (16+),Geography,England,0.685319360111231
Population (16+),Geography,Wales,0.0928474886724338
Population (16+),Geography,Scotland,0.129851371067495
Population (16+),Geography,Northern Ireland,0.0919817801488392
Population (16+),Ethnicity,White,0.978706018984658
Population (16+),Ethnicity,Mixed,0.00548811048064528
Population (16+),Ethnicity,Asian,0.0096710498564858
Population (16+),Ethnicity,Black,0.0019999864264057
Population (16+),Ethnicity,Other ethnicity,0.00413483425180469
Population (16+),Country of Birth,UK / ROI,0.947680885759427
Population (16+),Country of Birth,Rest of Europe,0.00878094056590999
Population (16+),Country of Birth,Australia and New Zealand,0.00159404788324144
Population (16+),Country of Birth,North America,0.00828942063487138
Population (16+),Country of Birth,Middle East and Asia,0.0081230098244004
Population (16+),Country of Birth,Africa,0.00305156269794034
Population (16+),Country of Birth,Other,0.022480132634209
Population (16+),Religion,Christian,0.466908247472085
Population (16+),Religion,Jewish,0.000952743540889034
Population (16+),Religion,Buddhist,0.00117659790656285
Population (16+),Religion,Muslim,0.00379881126351299
Population (16+),Religion,Hindu,0.00169634757242305
Population (16+),Religion,Sikh,0.000380765629360831
Population (16+),Religion,Other religion,0.00720024318899366
Population (16+),Religion,No religion,0.517886243426172
Housing,House Type,Detached house,0.255005387314532
Housing,House Type,Flat or maisonette,0.0715273416455004
Housing,House Type,Semi-detached house,0.320976526740772
Housing,House Type,Terraced house,0.352490744299194
Housing,House Type,Bungalow,0.180270204933009
Housing,House Tenure,Owned outright,0.510135711687271
Housing,House Tenure,Mortgaged: full ownership,0.284150567156746
Housing,House Tenure,Mortgaged: shared ownership,0.0168231405780088
Housing,House Tenure,Privately rented,0.134529426680027
Housing,House Tenure,Social renting,0.0543611538979455
Housing,House Size,Number of beds: 1,0.0378678018454235
Housing,House Size,Number of beds: 2,0.390486941547868
Housing,House Size,Number of beds: 3,0.438321420003088
Housing,House Size,Number of beds: 4,0.109716740382611
Housing,House Size,Number of beds: 5+,0.0236070962210085
Housing,House Value,House value up to 100k,0.05991700263787
Housing,House Value,House value 100k - 150k,0.169939928208856
