Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0496597722133477
Population,Age,Age 5 - 17,0.110674128166296
Population,Age,Age 18 - 24,0.113513163081136
Population,Age,Age 25 - 34,0.233995809389457
Population,Age,Age 35 - 49,0.226731738688463
Population,Age,Age 50 - 64,0.149408750492707
Population,Age,Age 65 - 74,0.061130012654814
Population (16+),Geography,England,0.878367152903841
Population (16+),Geography,Wales,0.0160824850572889
Population (16+),Geography,Scotland,0.099599137075515
Population (16+),Geography,Northern Ireland,0.00595122496335387
Population (16+),Ethnicity,White,0.80198913696556
Population (16+),Ethnicity,Mixed,0.028644277428905
Population (16+),Ethnicity,Asian,0.106294799672492
Population (16+),Ethnicity,Black,0.0174629841057708
Population (16+),Ethnicity,Other ethnicity,0.0456088018272712
Population (16+),Country of Birth,UK / ROI,0.786750750054648
Population (16+),Country of Birth,Rest of Europe,0.0438348543831201
Population (16+),Country of Birth,Australia and New Zealand,0.000926906618072197
Population (16+),Country of Birth,North America,0.00723636044827734
Population (16+),Country of Birth,Middle East and Asia,0.0317293083853842
Population (16+),Country of Birth,Africa,0.0070570106320674
Population (16+),Country of Birth,Other,0.12246480947843
Population (16+),Religion,Christian,0.393646363128613
Population (16+),Religion,Jewish,0.0219330999589819
Population (16+),Religion,Buddhist,0.00391290544259757
Population (16+),Religion,Muslim,0.061550277194737
Population (16+),Religion,Hindu,0.0100695283136952
Population (16+),Religion,Sikh,0.00264405654140392
Population (16+),Religion,Other religion,0.00667719816348432
Population (16+),Religion,No religion,0.499566571256486
Housing,House Type,Detached house,0.130019538176597
Housing,House Type,Flat or maisonette,0.545094139460111
Housing,House Type,Semi-detached house,0.15710248997516
Housing,House Type,Terraced house,0.16778383238813
Housing,House Type,Bungalow,0.0264521857906823
Housing,House Tenure,Owned outright,0.271194920999577
Housing,House Tenure,Mortgaged: full ownership,0.252267624073455
Housing,House Tenure,Mortgaged: shared ownership,0.0300686568879528
Housing,House Tenure,Privately rented,0.376123485475002
Housing,House Tenure,Social renting,0.070345312564012
Housing,House Size,Number of beds: 1,0.248644570742301
Housing,House Size,Number of beds: 2,0.323239573556168
Housing,House Size,Number of beds: 3,0.253775248978734
Housing,House Size,Number of beds: 4,0.140107452396681
Housing,House Size,Number of beds: 5+,0.0342331543261131
Housing,House Value,House value up to 100k,0.00447834744328372
Housing,House Value,House value 100k - 150k,0.0179764725432658
Housing,House Value,House value 150k - 250k,0.124441380844134
Housing,House Value,House value 250k - 500k,0.488434386296861
Housing,House Value,House value 500k - 750k,0.231221169414847
Housing,House Value,House value 750k - 1m,0.0723883965451283
Housing,House Value,House value 1m+,0.0610598469124781
Housing,House Move,Individual likely to move,0.453166084777716
Housing,House Move,Individual moves to a property on their own,0.177009331536481
Housing,House Move,Individual moves to a property with one other person in the household,0.222621477740834
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0535352755004016
Housing,House Move,Individual moves to owner occupied housing,0.268217951797553
Housing,House Move,Individual moves to private renting,0.155809793567368
Housing,House Move,Individual moves to social renting,0.0291383394127948
Housing,House Move,Individual moves to flat,0.182696640955965
Housing,House Move,Individual moves to terraced house,0.105884118862423
Housing,House Move,Individual moves to semi-detached,0.0997439131653797
Housing,House Move,Individual moves to detached house,0.064841411793948
Housing,Gentrification,Proportion of addresses applied for extension,0.00946228370373348
Housing,Gentrification,Churn rate within last 5 years,0.201652059896724
Housing,Gentrification,Annualised Price % change in last 5 years,0.0813800539361898
Family,Structure,"Single person, no children",0.255004542354629
Family,Structure,Single parent,0.02696819261362
Family,Structure,"Couple, no children",0.271754272982617
Family,Structure,Couple with children,0.143768325696998
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.302504666352134
Family,Number of Children by Age,Children aged 0 - 5: 0,0.926240938537297
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0460797494403112
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0276793120223913
Family,Number of Children by Age,Children aged 6 - 15: 0,0.842575909017278
Family,Number of Children by Age,Children aged 6 - 15: 1,0.0958066589046424
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.061617432078079
Family,Children in household,Children at home: 0,0.745951138019732
Family,Children in household,Children at home: 1,0.130642394470313
Family,Children in household,Children at home: 2,0.0883082805560656
Family,Children in household,Children at home: 3+,0.035098186953888
Family,Household Size,Household size: 1 person,0.208377382253954
Family,Household Size,Household size: 2 persons,0.417594894331199
Family,Household Size,Household size: 3 - 4 persons,0.308566934912821
Family,Household Size,Household size: 5+ persons,0.0654607885020243
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.210537121121968
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.354213395216261
Economy,NS SEC (% of people in employment),Intermediate occupations,0.143895522862149
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.100206312494557
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.0203310941218516
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.12419717981342
Economy,NS SEC (% of people in employment),Routine occupations,0.0466193743697904
Economy,Social Grade,A,0.0564594830900462
Economy,Social Grade,B,0.307889170028835
Economy,Social Grade,C1,0.372420110563361
Economy,Social Grade,C2,0.134069141526334
Economy,Social Grade,D,0.071411395711533
Economy,Social Grade,E,0.057750699079889
Economy,Occupation,Director / managerial,0.10535587908058
Economy,Occupation,Professional,0.324911730925172
Economy,Occupation,Looking after home,0.100363785029146
Economy,Occupation,Office worker,0.0563308474016364
Economy,Occupation,Retired,0.0649655516765443
Economy,Occupation,Self employed,0.0915961737905787
Economy,Occupation,Shop worker,0.0643109989998253
Economy,Occupation,Skilled / manual worker,0.0963312761781092
Economy,Occupation,Student,0.082313108615141
Economy,Occupation,Unemployed,0.0135206483032647
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.544050793416899
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.0989484158001911
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.151245055792646
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.11658478577367
Education,Highest Level of Qualifications (Adults),None of the above,0.0891709492165921
Transport,Travel To Work (% of Workers),Train / tube / tram,0.272548109248278
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.268383559803067
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.068250122836639
Transport,Travel To Work (% of Workers),Bicycle,0.120812682804324
Transport,Travel To Work (% of Workers),On foot,0.214679401618395
Transport,Travel To Work (% of Workers),Other (inc taxi / minicab),0.0116632711549918
Transport,Travel To Work (% of Workers),Works mainly from home,0.0436628525343025
Transport,Car Ownership,Number of cars: 0,0.3993579639676
Transport,Car Ownership,Number of cars: 1,0.452614672734769
Transport,Car Ownership,Number of cars: 2,0.121535341944442
Transport,Car Ownership,Number of cars: 3+,0.0264920213531879
Transport,Car Ownership,Less than 3 years old,0.102774184809497
Transport,Car type,Main car: Company car,0.0200532607395532
Transport,Car type,Main car: Privately owned,0.580588775292846
Transport,Car type,Main car class: Saloon,0.0617376883822275
Transport,Car type,Main car class: Hatchback,0.320585536991788
Transport,Car type,Main car class: Estate,0.0591276802982239
Transport,Car type,Main car class: Luxury,0.0253821602375244
Transport,Car type,Main car class: Other,0.133808970122635
Transport,Car type,Bought main car new,0.223342343885676
