Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0377899861781372
Population,Age,Age 5 - 17,0.163537540593248
Population,Age,Age 18 - 24,0.0565890040195432
Population,Age,Age 25 - 34,0.0691143090174632
Population,Age,Age 35 - 49,0.18199404453965
Population,Age,Age 50 - 64,0.247651103929419
Population,Age,Age 65 - 74,0.126115043281625
Population (16+),Geography,England,0.882032936817471
Population (16+),Geography,Wales,0.00777584814714117
Population (16+),Geography,Scotland,0.106560996729654
Population (16+),Geography,Northern Ireland,0.00363021830573319
Population (16+),Ethnicity,White,0.939115747185704
Population (16+),Ethnicity,Mixed,0.00640985815185714
Population (16+),Ethnicity,Asian,0.0467398656260625
Population (16+),Ethnicity,Black,0.0022643311402164
Population (16+),Ethnicity,Other ethnicity,0.00547019789615952
Population (16+),Country of Birth,UK / ROI,0.929461882721131
Population (16+),Country of Birth,Rest of Europe,0.00790689011917645
Population (16+),Country of Birth,Australia and New Zealand,0.00613175974206924
Population (16+),Country of Birth,North America,0.00827487635526087
Population (16+),Country of Birth,Middle East and Asia,0.0207032343769371
Population (16+),Country of Birth,Africa,0.00728526904730554
Population (16+),Country of Birth,Other,0.0202360876381191
Population (16+),Religion,Christian,0.493878876901811
Population (16+),Religion,Jewish,0.0190665551980493
Population (16+),Religion,Buddhist,0.00380376277448434
Population (16+),Religion,Muslim,0.00973890325574308
Population (16+),Religion,Hindu,0.0246657069281068
Population (16+),Religion,Sikh,0.0113328042685978
Population (16+),Religion,Other religion,0.00678849689138134
Population (16+),Religion,No religion,0.430724893781826
Housing,House Type,Detached house,0.67013937490943
Housing,House Type,Flat or maisonette,0.0589667476446123
Housing,House Type,Semi-detached house,0.213255938774279
Housing,House Type,Terraced house,0.0576379386716772
Housing,House Type,Bungalow,0.0652271508586137
Housing,House Tenure,Owned outright,0.629108946026277
Housing,House Tenure,Mortgaged: full ownership,0.261197478865937
Housing,House Tenure,Mortgaged: shared ownership,0.0156700322187883
Housing,House Tenure,Privately rented,0.0764450412534783
Housing,House Tenure,Social renting,0.0175785016355182
Housing,House Size,Number of beds: 1,0.0566562609093129
Housing,House Size,Number of beds: 2,0.082883728309133
Housing,House Size,Number of beds: 3,0.200354848919959
Housing,House Size,Number of beds: 4,0.347095765606839
Housing,House Size,Number of beds: 5+,0.313009396254755
Housing,House Value,House value up to 100k,0.000426641703188873
Housing,House Value,House value 100k - 150k,0.000951828066787732
Housing,House Value,House value 150k - 250k,0.00903017848753901
Housing,House Value,House value 250k - 500k,0.113110021250126
Housing,House Value,House value 500k - 750k,0.230441552269721
Housing,House Value,House value 750k - 1m,0.226874392945297
Housing,House Value,House value 1m+,0.419165385277339
Housing,House Move,Individual likely to move,0.258848936859175
Housing,House Move,Individual moves to a property on their own,0.0591789858798523
Housing,House Move,Individual moves to a property with one other person in the household,0.141605322018162
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0580646289611611
Housing,House Move,Individual moves to owner occupied housing,0.211644532191118
Housing,House Move,Individual moves to private renting,0.0397980652047381
Housing,House Move,Individual moves to social renting,0.00740633946331884
Housing,House Move,Individual moves to flat,0.0169587235485731
Housing,House Move,Individual moves to terraced house,0.0259218120502413
Housing,House Move,Individual moves to semi-detached,0.0675808051951883
Housing,House Move,Individual moves to detached house,0.148387596065172
Housing,Gentrification,Proportion of addresses applied for extension,0.0519139632643268
Housing,Gentrification,Churn rate within last 5 years,0.166518268942819
Housing,Gentrification,Annualised Price % change in last 5 years,0.097600554675236
Family,Structure,"Single person, no children",0.0857279832122282
Family,Structure,Single parent,0.00283685885159153
Family,Structure,"Couple, no children",0.348899716515577
