Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0686636167087148
Population,Age,Age 5 - 17,0.208347227409102
Population,Age,Age 18 - 24,0.101796368135692
Population,Age,Age 25 - 34,0.150657720548435
Population,Age,Age 35 - 49,0.223879753458592
Population,Age,Age 50 - 64,0.150554683386801
Population,Age,Age 65 - 74,0.0538971306541642
Population (16+),Geography,England,0.989124684248867
Population (16+),Geography,Wales,0.00282835643072004
Population (16+),Geography,Scotland,0.00572948468602021
Population (16+),Geography,Northern Ireland,0.00231747463439186
Population (16+),Ethnicity,White,0.343158925491558
Population (16+),Ethnicity,Mixed,0.0260947942648883
Population (16+),Ethnicity,Asian,0.468021625912626
Population (16+),Ethnicity,Black,0.060056951303291
Population (16+),Ethnicity,Other ethnicity,0.102667703027635
Population (16+),Country of Birth,UK / ROI,0.621181217308455
Population (16+),Country of Birth,Rest of Europe,0.0252477616782338
Population (16+),Country of Birth,Australia and New Zealand,0.000379829282428833
Population (16+),Country of Birth,North America,0.00313918536155192
Population (16+),Country of Birth,Middle East and Asia,0.19598009298137
Population (16+),Country of Birth,Africa,0.020287719869232
Population (16+),Country of Birth,Other,0.133784193518726
Population (16+),Religion,Christian,0.239825452766134
Population (16+),Religion,Jewish,0.000978224581200974
Population (16+),Religion,Buddhist,0.0111639806477637
Population (16+),Religion,Muslim,0.41207229152533
Population (16+),Religion,Hindu,0.0517103957165176
Population (16+),Religion,Sikh,0.0285068429443524
Population (16+),Religion,Other religion,0.00897055055503521
Population (16+),Religion,No religion,0.246772261263664
Housing,House Type,Detached house,0.137137945895959
Housing,House Type,Flat or maisonette,0.13284120805642
Housing,House Type,Semi-detached house,0.320046159663184
Housing,House Type,Terraced house,0.409974686384435
Housing,House Type,Bungalow,0.0234445464627476
Housing,House Tenure,Owned outright,0.315690667716554
Housing,House Tenure,Mortgaged: full ownership,0.267291423726849
Housing,House Tenure,Mortgaged: shared ownership,0.0504762206597131
Housing,House Tenure,Privately rented,0.2204380557848
Housing,House Tenure,Social renting,0.146103632112082
Housing,House Size,Number of beds: 1,0.0313236475386489
Housing,House Size,Number of beds: 2,0.258609899788379
Housing,House Size,Number of beds: 3,0.531272288094639
Housing,House Size,Number of beds: 4,0.153007305819535
Housing,House Size,Number of beds: 5+,0.0257868587587968
Housing,House Value,House value up to 100k,0.0897865835323792
Housing,House Value,House value 100k - 150k,0.153874955539021
Housing,House Value,House value 150k - 250k,0.255079659590365
Housing,House Value,House value 250k - 500k,0.406072425673077
Housing,House Value,House value 500k - 750k,0.0775403283432918
Housing,House Value,House value 750k - 1m,0.0124260688684041
Housing,House Value,House value 1m+,0.00521997845345947
Housing,House Move,Individual likely to move,0.209217618003402
Housing,House Move,Individual moves to a property on their own,0.0501764481705403
Housing,House Move,Individual moves to a property with one other person in the household,0.10710016431944
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0519410055134221
Housing,House Move,Individual moves to owner occupied housing,0.110924496694436
Housing,House Move,Individual moves to private renting,0.0568852548431492
Housing,House Move,Individual moves to social renting,0.0414078664658167
Housing,House Move,Individual moves to flat,0.0253613612886167
Housing,House Move,Individual moves to terraced house,0.10339867934874
Housing,House Move,Individual moves to semi-detached,0.0564844470600265
Housing,House Move,Individual moves to detached house,0.0239731303060183
