Question,Option,Demographic,Value,Prediction
working arrangement,Full-time education,"Young 
Dependents",0.49509285191105,
Saving value,No savings,"Young 
Dependents",0.393543784738229,
happened in last year,Was a victim of fraud or identity theft,"Young 
Dependents",0.0760457563592935,
Retirement age,Retired and aged under 50,"Young 
Dependents",0.0001125228261226,
Milege,"Yearly mileage: 0 - 5,000 miles","Young 
Dependents",0.604085333785184,
finance: products opened in last year,Current Account,"Young 
Dependents",0.456794318646248,
invesment: innovative types,Cryptocurrency Digital currency,"Young 
Dependents",0.108153808750793,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,"Young 
Dependents",0.913562385763491,
 lifestyle: interest and hobbies,Online entertainment (e.g. debating watching YouTube etc.),"Young 
Dependents",0.666285055298015,
arranged considerable products,,"Young 
Dependents",,
 holiday destination,Holiday: short haul,"Young 
Dependents",0.710021999588559,
 manage current account,Online,"Young 
Dependents",0.749609600761189,
 finance benefits,Universal credit,"Young 
Dependents",0.0281831488404318,
 number of children at home,0,"Young 
Dependents",0.809681341992951,
 NS Socio-Economic Classification,Semi-routine occupations,"Young 
Dependents",0.133736399516138,
working arrangement,Full-time,"Starting 
Out",0.438343339531215,
Saving value,No savings,"Starting 
Out",0.492130095057523,
happened in last year,Was a victim of fraud or identity theft,"Starting 
Out",0.0834827497523736,
Retirement age,Retired and aged under 50,"Starting 
Out",0.0001513231196328,
Milege,"Yearly mileage: 0 - 5,000 miles","Starting 
Out",0.322181112486935,
finance: products opened in last year,Current Account,"Starting 
Out",0.370364882078203,
invesment: innovative types,Cryptocurrency Digital currency,"Starting 
Out",0.109083828669743,
finance: financial attitudes,I would be happy to use the Internet to carry out day to day banking transactions,"Starting 
Out",0.880423607081258,
 lifestyle: interest and hobbies,Online entertainment (e.g. debating watching YouTube etc.),"Starting 
Out",0.512663904208137,
arranged considerable products,,"Starting 
Out",,
 holiday destination,Holiday: short haul,"Starting 
Out",0.635379965327681,
 manage current account,Online,"Starting 
Out",0.696078131243214,
 finance benefits,Universal credit,"Starting 
Out",0.140632236745335,
 number of children at home,0,"Starting 
Out",0.728726057722868,
 NS Socio-Economic Classification,Semi-routine occupations,"Starting 
Out",0.241627983264297,
working arrangement,Full-time,"Rising 
Metropolitans",0.669002551964644,
Saving value,No savings,"Rising 
Metropolitans",0.375675073185151,
happened in last year,Was a victim of fraud or identity theft,"Rising 
Metropolitans",0.0679459642676189,
Retirement age,Retired and aged under 50,"Rising 
Metropolitans",0.0002311318047619,
