Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.056274496180096
Population,Age,Age 5 - 17,0.155488302366687
Population,Age,Age 18 - 24,0.0646509659509018
Population,Age,Age 25 - 34,0.132025659732201
Population,Age,Age 35 - 49,0.208238980600972
Population,Age,Age 50 - 64,0.198811076615997
Population,Age,Age 65 - 74,0.0961718846227943
Population (16+),Geography,England,0.902028301834352
Population (16+),Geography,Wales,0.0277458196169506
Population (16+),Geography,Scotland,0.067407418487458
Population (16+),Geography,Northern Ireland,0.00281846006123839
Population (16+),Ethnicity,White,0.953455400360161
Population (16+),Ethnicity,Mixed,0.00901986368301714
Population (16+),Ethnicity,Asian,0.0264703769654842
Population (16+),Ethnicity,Black,0.00347170385210901
Population (16+),Ethnicity,Other ethnicity,0.00758265513922802
Population (16+),Country of Birth,UK / ROI,0.920318087903727
Population (16+),Country of Birth,Rest of Europe,0.0163756832962411
Population (16+),Country of Birth,Australia and New Zealand,0.00343397851557545
Population (16+),Country of Birth,North America,0.00327740542081995
Population (16+),Country of Birth,Middle East and Asia,0.00831467893632914
Population (16+),Country of Birth,Africa,0.00654048118347075
Population (16+),Country of Birth,Other,0.0417396847438358
Population (16+),Religion,Christian,0.415199384746659
Population (16+),Religion,Jewish,0.00336244487941741
Population (16+),Religion,Buddhist,0.00192809125246338
Population (16+),Religion,Muslim,0.0161795174021407
Population (16+),Religion,Hindu,0.00490615839913935
Population (16+),Religion,Sikh,0.000396246708246377
Population (16+),Religion,Other religion,0.00741410717450142
Population (16+),Religion,No religion,0.550614049437432
Housing,House Type,Detached house,0.273655474213747
Housing,House Type,Flat or maisonette,0.0482702679229011
Housing,House Type,Semi-detached house,0.31158190806571
Housing,House Type,Terraced house,0.366492349797641
Housing,House Type,Bungalow,0.0358005098235408
Housing,House Tenure,Owned outright,0.442548533919617
Housing,House Tenure,Mortgaged: full ownership,0.356258315071151
Housing,House Tenure,Mortgaged: shared ownership,0.0206082540808277
Housing,House Tenure,Privately rented,0.135726075200983
Housing,House Tenure,Social renting,0.0448588217274193
Housing,House Size,Number of beds: 1,0.0315983828581492
Housing,House Size,Number of beds: 2,0.180917372521622
Housing,House Size,Number of beds: 3,0.492947445880493
Housing,House Size,Number of beds: 4,0.245485225811288
Housing,House Size,Number of beds: 5+,0.0490515729284462
Housing,House Value,House value up to 100k,0.00788150606840877
Housing,House Value,House value 100k - 150k,0.0310083087409496
Housing,House Value,House value 150k - 250k,0.205796103273502
Housing,House Value,House value 250k - 500k,0.605829576510518
Housing,House Value,House value 500k - 750k,0.116751877839428
Housing,House Value,House value 750k - 1m,0.0223127374074199
Housing,House Value,House value 1m+,0.010419890159772
Housing,House Move,Individual likely to move,0.298714119747954
Housing,House Move,Individual moves to a property on their own,0.0779826031325973
Housing,House Move,Individual moves to a property with one other person in the household,0.175478217941782
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0452532986735743
Housing,House Move,Individual moves to owner occupied housing,0.206908064604795
Housing,House Move,Individual moves to private renting,0.0742667545849356
Housing,House Move,Individual moves to social renting,0.0175393005582232
Housing,House Move,Individual moves to flat,0.0219611985412471
Housing,House Move,Individual moves to terraced house,0.0902895118776859
Housing,House Move,Individual moves to semi-detached,0.091519046375216
Housing,House Move,Individual moves to detached house,0.0949443629538048
Housing,Gentrification,Proportion of addresses applied for extension,0.0131125676782572
Housing,Gentrification,Churn rate within last 5 years,0.230944635717521
Housing,Gentrification,Annualised Price % change in last 5 years,0.0840304245266297
Family,Structure,"Single person, no children",0.145483354284965
Family,Structure,Single parent,0.0307975062962678
Family,Structure,"Couple, no children",0.331664554418287
Family,Structure,Couple with children,0.2310424885744
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.261012096426078
Family,Number of Children by Age,Children aged 0 - 5: 0,0.875917154866966
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0908793562444346
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0332034888885991
Family,Number of Children by Age,Children aged 6 - 15: 0,0.792666251049792
Family,Number of Children by Age,Children aged 6 - 15: 1,0.128617150408302
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0787165985419046
Family,Children in household,Children at home: 0,0.704390175081378
Family,Children in household,Children at home: 1,0.149936598868804
Family,Children in household,Children at home: 2,0.110329547944087
Family,Children in household,Children at home: 3+,0.0353436781057297
Family,Household Size,Household size: 1 person,0.15220718338789
