Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0436838437254134
Population,Age,Age 5 - 17,0.154302870137458
Population,Age,Age 18 - 24,0.0586630184347323
Population,Age,Age 25 - 34,0.0882311276325117
Population,Age,Age 35 - 49,0.191205129487575
Population,Age,Age 50 - 64,0.232794314652217
Population,Age,Age 65 - 74,0.121217657306791
Population (16+),Geography,England,0.871672734894278
Population (16+),Geography,Wales,0.0182441137088903
Population (16+),Geography,Scotland,0.102511534129332
Population (16+),Geography,Northern Ireland,0.00757161726749896
Population (16+),Ethnicity,White,0.956361717088485
Population (16+),Ethnicity,Mixed,0.00661287676350961
Population (16+),Ethnicity,Asian,0.0255905091221077
Population (16+),Ethnicity,Black,0.00452480351517259
Population (16+),Ethnicity,Other ethnicity,0.00691009351072502
Population (16+),Country of Birth,UK / ROI,0.937712493994519
Population (16+),Country of Birth,Rest of Europe,0.00813667780404393
Population (16+),Country of Birth,Australia and New Zealand,0.00400644968273348
Population (16+),Country of Birth,North America,0.00226956494861463
Population (16+),Country of Birth,Middle East and Asia,0.0152837877711126
Population (16+),Country of Birth,Africa,0.00783808134307161
Population (16+),Country of Birth,Other,0.0247529444559042
Population (16+),Religion,Christian,0.471969470496588
Population (16+),Religion,Jewish,0.00489890312551169
Population (16+),Religion,Buddhist,0.00251464261587269
Population (16+),Religion,Muslim,0.00922328959465499
Population (16+),Religion,Hindu,0.00850498196717739
Population (16+),Religion,Sikh,0.00520213094659587
Population (16+),Religion,Other religion,0.00655973338505621
Population (16+),Religion,No religion,0.491126847868542
Housing,House Type,Detached house,0.645417265464451
Housing,House Type,Flat or maisonette,0.0450681906111284
Housing,House Type,Semi-detached house,0.231715465055729
Housing,House Type,Terraced house,0.0777990788686913
Housing,House Type,Bungalow,0.0736735489730115
Housing,House Tenure,Owned outright,0.577070017971521
Housing,House Tenure,Mortgaged: full ownership,0.312693023580041
Housing,House Tenure,Mortgaged: shared ownership,0.0121913228011947
Housing,House Tenure,Privately rented,0.0808988597892081
Housing,House Tenure,Social renting,0.0171467758580335
Housing,House Size,Number of beds: 1,0.028570342199991
Housing,House Size,Number of beds: 2,0.116296912604623
Housing,House Size,Number of beds: 3,0.307899079487206
Housing,House Size,Number of beds: 4,0.42642490154578
Housing,House Size,Number of beds: 5+,0.120808764162397
Housing,House Value,House value up to 100k,0.00188599792016602
Housing,House Value,House value 100k - 150k,0.007118030712058
Housing,House Value,House value 150k - 250k,0.0640097240854185
Housing,House Value,House value 250k - 500k,0.451509802518824
Housing,House Value,House value 500k - 750k,0.293353322075767
Housing,House Value,House value 750k - 1m,0.109238878393216
Housing,House Value,House value 1m+,0.0728842442945488
Housing,House Move,Individual likely to move,0.264065423868511
Housing,House Move,Individual moves to a property on their own,0.0620541871112102
Housing,House Move,Individual moves to a property with one other person in the household,0.149776824820965
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0522344119363351
Housing,House Move,Individual moves to owner occupied housing,0.208375212517346
Housing,House Move,Individual moves to private renting,0.0456284135359395
Housing,House Move,Individual moves to social renting,0.010061797815225
Housing,House Move,Individual moves to flat,0.0187174343433309
Housing,House Move,Individual moves to terraced house,0.0353690972892449
Housing,House Move,Individual moves to semi-detached,0.0739655576675012
Housing,House Move,Individual moves to detached house,0.136013334568434
