Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0420678621071228
Population,Age,Age 5 - 17,0.114747710770017
Population,Age,Age 18 - 24,0.0668599032623186
Population,Age,Age 25 - 34,0.133851951704024
Population,Age,Age 35 - 49,0.176208186702613
Population,Age,Age 50 - 64,0.20697763597214
Population,Age,Age 65 - 74,0.123264282331263
Population (16+),Geography,England,0.722390992598795
Population (16+),Geography,Wales,0.0640638996946578
Population (16+),Geography,Scotland,0.174932102411125
Population (16+),Geography,Northern Ireland,0.0386130052954205
Population (16+),Ethnicity,White,0.973747491812178
Population (16+),Ethnicity,Mixed,0.014144696416725
Population (16+),Ethnicity,Asian,0.00470498144638734
Population (16+),Ethnicity,Black,0.00410947098377912
Population (16+),Ethnicity,Other ethnicity,0.00329335934092966
Population (16+),Country of Birth,UK / ROI,0.94618662706999
Population (16+),Country of Birth,Rest of Europe,0.0169963403062129
Population (16+),Country of Birth,Australia and New Zealand,0.00200723069581968
Population (16+),Country of Birth,North America,0.00229599742265461
Population (16+),Country of Birth,Middle East and Asia,0.00333561184306182
Population (16+),Country of Birth,Africa,0.00957011077638576
Population (16+),Country of Birth,Other,0.0196080818858747
Population (16+),Religion,Christian,0.488393964467587
Population (16+),Religion,Jewish,0.00192852268959101
Population (16+),Religion,Buddhist,0.00138125541709967
Population (16+),Religion,Muslim,0.00316321335195308
Population (16+),Religion,Hindu,0.000781274547303686
Population (16+),Religion,Sikh,0.00053533009704304
Population (16+),Religion,Other religion,0.0113676288606774
Population (16+),Religion,No religion,0.492448810568745
Housing,House Type,Detached house,0.141878583304763
Housing,House Type,Flat or maisonette,0.407761941981235
Housing,House Type,Semi-detached house,0.262175034987233
Housing,House Type,Terraced house,0.188184439726766
Housing,House Type,Bungalow,0.224377119945696
Housing,House Tenure,Owned outright,0.307052592095504
Housing,House Tenure,Mortgaged: full ownership,0.164053418045914
Housing,House Tenure,Mortgaged: shared ownership,0.0310504326784842
Housing,House Tenure,Privately rented,0.187137379341349
Housing,House Tenure,Social renting,0.310706177838747
Housing,House Size,Number of beds: 1,0.374176451504701
Housing,House Size,Number of beds: 2,0.369147593914337
Housing,House Size,Number of beds: 3,0.184073133649767
Housing,House Size,Number of beds: 4,0.0502080476455034
Housing,House Size,Number of beds: 5+,0.0223947732856904
Housing,House Value,House value up to 100k,0.316784405543406
Housing,House Value,House value 100k - 150k,0.272324317887889
Housing,House Value,House value 150k - 250k,0.279471892649522
Housing,House Value,House value 250k - 500k,0.11915324767369
Housing,House Value,House value 500k - 750k,0.00981525903938263
Housing,House Value,House value 750k - 1m,0.00162152161696374
Housing,House Value,House value 1m+,0.000829355589145166
Housing,House Move,Individual likely to move,0.294054840864478
Housing,House Move,Individual moves to a property on their own,0.129784084813984
Housing,House Move,Individual moves to a property with one other person in the household,0.142069489417738
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0222012666327559
Housing,House Move,Individual moves to owner occupied housing,0.112768568708316
Housing,House Move,Individual moves to private renting,0.0721767327309693
Housing,House Move,Individual moves to social renting,0.109109539425192
Housing,House Move,Individual moves to flat,0.097183859953285
Housing,House Move,Individual moves to terraced house,0.0877825321452258
Housing,House Move,Individual moves to semi-detached,0.0721107893003255
Housing,House Move,Individual moves to detached house,0.0369776594656416
Housing,Gentrification,Proportion of addresses applied for extension,0.00184018117164858
Housing,Gentrification,Churn rate within last 5 years,0.111296951170112
Housing,Gentrification,Annualised Price % change in last 5 years,0.123088581202731
Family,Structure,"Single person, no children",0.464066522311613
Family,Structure,Single parent,0.0320046577909453
Family,Structure,"Couple, no children",0.29543391630649
Family,Structure,Couple with children,0.0761940668491456
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.132300836741805
Family,Number of Children by Age,Children aged 0 - 5: 0,0.947838337269213
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0471212552705808
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.00504040746020546
Family,Number of Children by Age,Children aged 6 - 15: 0,0.919656008684684
Family,Number of Children by Age,Children aged 6 - 15: 1,0.0441399862198672
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0362040050954488
Family,Children in household,Children at home: 0,0.802769356676497
Family,Children in household,Children at home: 1,0.106530489444073
Family,Children in household,Children at home: 2,0.0680759121364477
Family,Children in household,Children at home: 3+,0.0226242417429813
Family,Household Size,Household size: 1 person,0.365544244822327
Family,Household Size,Household size: 2 persons,0.384590291056621
Family,Household Size,Household size: 3 - 4 persons,0.221470761334096
Family,Household Size,Household size: 5+ persons,0.0283947027869544
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.035145916237283
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.247414439136333
Economy,NS SEC (% of people in employment),Intermediate occupations,0.118307481207269
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.103357055389251
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.0896230518960662
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.274340211026933
Economy,NS SEC (% of people in employment),Routine occupations,0.131811845106862
Economy,Social Grade,A,0.0242662613897304
Economy,Social Grade,B,0.138864134088942
Economy,Social Grade,C1,0.274496758928558
Economy,Social Grade,C2,0.218601148796607
Economy,Social Grade,D,0.173797778870531
Economy,Social Grade,E,0.169973917925629
Economy,Occupation,Director / managerial,0.0274479356720471
Economy,Occupation,Professional,0.111863372759272
Economy,Occupation,Looking after home,0.23390267949905
Economy,Occupation,Office worker,0.038698181983647
Economy,Occupation,Retired,0.220518463097694
Economy,Occupation,Self employed,0.0476314220850351
Economy,Occupation,Shop worker,0.0832847620815843
Economy,Occupation,Skilled / manual worker,0.131043415720198
Economy,Occupation,Student,0.0344537758472804
Economy,Occupation,Unemployed,0.0711559912541896
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.102416432692984
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.0716020758196856
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.0825416639818484
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.313767105466186
Education,Highest Level of Qualifications (Adults),None of the above,0.429672722039295
Transport,Travel To Work (% of Workers),Train / tube / tram,0.0405897260370318
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.638358040277681
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.10708371744247
Transport,Travel To Work (% of Workers),Bicycle,0.022011821307631
Transport,Travel To Work (% of Workers),On foot,0.181051825814845
Transport,Travel To Work (% of Workers),Other (inc taxi / minicab),0.00443264618012442
Transport,Travel To Work (% of Workers),Works mainly from home,0.00647222294021586
Transport,Car Ownership,Number of cars: 0,0.334617361022944
Transport,Car Ownership,Number of cars: 1,0.52731485259571
Transport,Car Ownership,Number of cars: 2,0.118079671104202
Transport,Car Ownership,Number of cars: 3+,0.0199881152771423
Transport,Car Ownership,Less than 3 years old,0.0960765411954492
Transport,Car type,Main car: Company car,0.00970091932343843
Transport,Car type,Main car: Privately owned,0.655681719653617
Transport,Car type,Main car class: Saloon,0.0865963067794515
Transport,Car type,Main car class: Hatchback,0.370875325822523
Transport,Car type,Main car class: Estate,0.0455661502497777
Transport,Car type,Main car class: Luxury,0.0226804645133834
Transport,Car type,Main car class: Other,0.139664391611919
Transport,Car type,Bought main car new,0.185639500147626
Transport,Car type,Bought main car used,0.479743138829429
Transport,Car type,Main car uses: Traditional fuel,0.58077085752895
Transport,Car type,Main car uses: Mild hybrid (i.e. engine and electric motor power the car and can't be used independently of each other),0.0240151398918695
Transport,Car type,"Main car uses: Full hybrid (i.e. engine and electric motor power the car, either simultaneously or independently)",0.0308922229252706
Transport,Car type,Main car uses: Plug-in hybrid (i.e. engine and electric motor power the car that charges using a plug - in),0.00945581084158429
Transport,Car type,Main car uses: Electric,0.0187073441052132
Transport,Car type,Main car uses: Other alternative fuels,0.001541263684168
Transport,Mileage,"Yearly mileage: 0 - 5,000 miles",0.402876791163051
Transport,Mileage,"Yearly mileage: 5,000 - 10,000 miles",0.160155379592294
Transport,Mileage,"Yearly mileage: 10,000+ miles",0.102350468221709
Finance,Household Annual Gross Income,"£0 - £20,000",0.479195240950805
Finance,Household Annual Gross Income,"£20,000 - £40,000",0.374504604107142
Finance,Household Annual Gross Income,"£40,000 - £60,000",0.0934683892148565
Finance,Household Annual Gross Income,"£60,000 - £80,000",0.0367970647013145
Finance,Household Annual Gross Income,"£80,000 - £100,000",0.0134726500498917
Finance,Household Annual Gross Income,"£100,000+",0.00256205097598982
Finance,Household Annual Gross Income,Average (Mean) Household Income,27316.7698652331
Finance,Disposable Income,Income after Income tax and National Insurance,23954.5816507533
Finance,Disposable Income,Disposable Income after all modelled outgoings,12736.2437197823
Finance,Outgoings,"Income tax, NI",3362.1884520264002
Finance,Outgoings,"Mortgage, social rent, private rent",3784.1250430677
Finance,Outgoings,"Council tax, utilities, water, structure insurance, NI domestic rates",1733.9645387895598
Finance,Outgoings,Food,3761.61933972729
Finance,Outgoings,Clothing,858.203604703351
Finance,Outgoings,Childcare,299.937971252751
Finance,Outgoings,Student loans,24.8773400973918
Finance,Outgoings,Pension,418.624105035113
Finance,Outgoings,Travel to work,336.980439847829
Finance,Outgoings,Total Expenditure,285.628598698957
Finance,Outgoings,> Food and non-alcoholic beverages,42.8792163533348
Finance,Outgoings,> Alcoholic beverages (off-sales),6.03905690205269
Finance,Outgoings,> Tobacco,4.16781190588136
Finance,Outgoings,> Clothing and footwear,9.4474119404272
Finance,Outgoings,"> Housing, water, electricity, gas and other fuels",76.7068557503385
Finance,Outgoings,"> Furnishings, household equipment and routine maintenance",26.285312217995
Finance,Outgoings,> Health,4.9232553955515
Finance,Outgoings,> Transport,31.9657217033743
Finance,Outgoings,> Communication,14.0480141055168
Finance,Outgoings,> Recreation and Culture,34.6482976819444
Finance,Outgoings,> Education,1.82374456848195
Finance,Outgoings,> Restaurants and hotels,14.3352358072819
Finance,Outgoings,> Miscellaneous goods and services,18.3586643667766
