Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0396883256792336
Population,Age,Age 5 - 17,0.168523308242745
Population,Age,Age 18 - 24,0.0720677213691009
Population,Age,Age 25 - 34,0.0990188202625456
Population,Age,Age 35 - 49,0.192070693233899
Population,Age,Age 50 - 64,0.232771310360199
Population,Age,Age 65 - 74,0.101623845500178
Population (16+),Geography,England,0.978624301146396
Population (16+),Geography,Wales,0.00773157962071866
Population (16+),Geography,Scotland,0.0100345680507819
Population (16+),Geography,Northern Ireland,0.00360955118210297
Population (16+),Ethnicity,White,0.946614312768698
Population (16+),Ethnicity,Mixed,0.0234593558018881
Population (16+),Ethnicity,Asian,0.0225027392075088
Population (16+),Ethnicity,Black,0.00326172727312664
Population (16+),Ethnicity,Other ethnicity,0.00416186494877774
Population (16+),Country of Birth,UK / ROI,0.894978767576358
Population (16+),Country of Birth,Rest of Europe,0.00985635784816415
Population (16+),Country of Birth,Australia and New Zealand,0.00224101503109218
Population (16+),Country of Birth,North America,0.00289296745133554
Population (16+),Country of Birth,Middle East and Asia,0.0284443459481903
Population (16+),Country of Birth,Africa,0.00782701993056042
Population (16+),Country of Birth,Other,0.0537595262142988
Population (16+),Religion,Christian,0.608078610837801
Population (16+),Religion,Jewish,0.0192590369383357
Population (16+),Religion,Buddhist,0.00519985056423909
Population (16+),Religion,Muslim,0.00464118788285751
Population (16+),Religion,Hindu,0.00338908091404695
Population (16+),Religion,Sikh,0.00228831889636658
Population (16+),Religion,Other religion,0.00675526369853218
Population (16+),Religion,No religion,0.35038865026782
Housing,House Type,Detached house,0.483773352670449
Housing,House Type,Flat or maisonette,0.151098925616922
Housing,House Type,Semi-detached house,0.222028240365877
Housing,House Type,Terraced house,0.14309948134675
Housing,House Type,Bungalow,0.0652271508586137
Housing,House Tenure,Owned outright,0.574942143594541
Housing,House Tenure,Mortgaged: full ownership,0.257406519315634
Housing,House Tenure,Mortgaged: shared ownership,0.0442996934473968
Housing,House Tenure,Privately rented,0.0937892831109103
Housing,House Tenure,Social renting,0.0295623605315167
Housing,House Size,Number of beds: 1,0.0376131095327841
Housing,House Size,Number of beds: 2,0.0872902438750387
Housing,House Size,Number of beds: 3,0.127841600084138
Housing,House Size,Number of beds: 4,0.554746880833942
Housing,House Size,Number of beds: 5+,0.192508165674097
Housing,House Value,House value up to 100k,0.000551236299934063
Housing,House Value,House value 100k - 150k,0.000657022004160202
Housing,House Value,House value 150k - 250k,0.00213698820040159
Housing,House Value,House value 250k - 500k,0.0149625290312178
Housing,House Value,House value 500k - 750k,0.0332991776021646
Housing,House Value,House value 750k - 1m,0.0464160430490342
Housing,House Value,House value 1m+,0.901977003813087
Housing,House Move,Individual likely to move,0.229801785601749
Housing,House Move,Individual moves to a property on their own,0.0561042302140699
Housing,House Move,Individual moves to a property with one other person in the household,0.111611938034763
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0620856173529158
Housing,House Move,Individual moves to owner occupied housing,0.175948018625208
Housing,House Move,Individual moves to private renting,0.0458408753276589
Housing,House Move,Individual moves to social renting,0.00801289164888144
Housing,House Move,Individual moves to flat,0.0397100692885207
Housing,House Move,Individual moves to terraced house,0.0372379544105229
Housing,House Move,Individual moves to semi-detached,0.0591653667046904
Housing,House Move,Individual moves to detached house,0.0936883951980151
Housing,Gentrification,Proportion of addresses applied for extension,0.0591302820671612
Housing,Gentrification,Churn rate within last 5 years,0.155370937413309
Housing,Gentrification,Annualised Price % change in last 5 years,0.0929994765391568
Family,Structure,"Single person, no children",0.068651153616889
Family,Structure,Single parent,0.00564027654979809
Family,Structure,"Couple, no children",0.237162379295507
Family,Structure,Couple with children,0.266149176911126
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.422397013626679
Family,Number of Children by Age,Children aged 0 - 5: 0,0.823916798408618
Family,Number of Children by Age,Children aged 0 - 5: 1,0.116291219933396
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0597919816579846
Family,Number of Children by Age,Children aged 6 - 15: 0,0.656771370327948
Family,Number of Children by Age,Children aged 6 - 15: 1,0.224696461938224
