Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0576414841562981
Population,Age,Age 5 - 17,0.167917457904091
Population,Age,Age 18 - 24,0.0809461200416869
Population,Age,Age 25 - 34,0.146937658020304
Population,Age,Age 35 - 49,0.195506070004844
Population,Age,Age 50 - 64,0.188233630926881
Population,Age,Age 65 - 74,0.0873783156028645
Population (16+),Geography,England,0.700219566974301
Population (16+),Geography,Wales,0.09517637913171
Population (16+),Geography,Scotland,0.166247227767579
Population (16+),Geography,Northern Ireland,0.0383568261264081
Population (16+),Ethnicity,White,0.955819410873726
Population (16+),Ethnicity,Mixed,0.00807190598984917
Population (16+),Ethnicity,Asian,0.0217285618247975
Population (16+),Ethnicity,Black,0.00563060002032459
Population (16+),Ethnicity,Other ethnicity,0.00874952129130244
Population (16+),Country of Birth,UK / ROI,0.922333427147322
Population (16+),Country of Birth,Rest of Europe,0.0247129845648575
Population (16+),Country of Birth,Australia and New Zealand,0.00100579302280831
Population (16+),Country of Birth,North America,0.00244089505489512
Population (16+),Country of Birth,Middle East and Asia,0.0140902659905414
Population (16+),Country of Birth,Africa,0.00614350327508554
Population (16+),Country of Birth,Other,0.0292731309444891
Population (16+),Religion,Christian,0.386636469378938
Population (16+),Religion,Jewish,0.000525696226133263
Population (16+),Religion,Buddhist,0.00440412084813518
Population (16+),Religion,Muslim,0.0109155625883862
Population (16+),Religion,Hindu,0.0065902943998959
Population (16+),Religion,Sikh,0.000755655097003673
Population (16+),Religion,Other religion,0.00937192489184364
Population (16+),Religion,No religion,0.580800276569663
Housing,House Type,Detached house,0.0883113585202528
Housing,House Type,Flat or maisonette,0.0870005154295187
Housing,House Type,Semi-detached house,0.2465845301678
Housing,House Type,Terraced house,0.578103595882427
Housing,House Type,Bungalow,0.0345790570463163
Housing,House Tenure,Owned outright,0.35382445777012
Housing,House Tenure,Mortgaged: full ownership,0.261348638534649
Housing,House Tenure,Mortgaged: shared ownership,0.0205832281624648
Housing,House Tenure,Privately rented,0.197017700226034
Housing,House Tenure,Social renting,0.16722597530673
Housing,House Size,Number of beds: 1,0.0635779600618455
Housing,House Size,Number of beds: 2,0.344725975628246
Housing,House Size,Number of beds: 3,0.482618501856247
Housing,House Size,Number of beds: 4,0.0813912384787252
Housing,House Size,Number of beds: 5+,0.0276863239749357
Housing,House Value,House value up to 100k,0.198442218141207
Housing,House Value,House value 100k - 150k,0.32817377102983
Housing,House Value,House value 150k - 250k,0.363102473414794
Housing,House Value,House value 250k - 500k,0.105638114797256
Housing,House Value,House value 500k - 750k,0.00410993774936761
Housing,House Value,House value 750k - 1m,0.000413929780282726
Housing,House Value,House value 1m+,0.00011955508726125
Housing,House Move,Individual likely to move,0.245861937015229
Housing,House Move,Individual moves to a property on their own,0.0774827670933937
Housing,House Move,Individual moves to a property with one other person in the household,0.129312302569146
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0390668673526885
Housing,House Move,Individual moves to owner occupied housing,0.112818521168195
Housing,House Move,Individual moves to private renting,0.0685651834875707
Housing,House Move,Individual moves to social renting,0.0644782323594623
Housing,House Move,Individual moves to flat,0.0276175113520675
Housing,House Move,Individual moves to terraced house,0.121513048986799
Housing,House Move,Individual moves to semi-detached,0.0603480938577642
Housing,House Move,Individual moves to detached house,0.0363832828185983
Housing,Gentrification,Proportion of addresses applied for extension,0.00310779766377218
Housing,Gentrification,Churn rate within last 5 years,0.142707321633856
Housing,Gentrification,Annualised Price % change in last 5 years,0.144760437004555
Family,Structure,"Single person, no children",0.193743232388902
Family,Structure,Single parent,0.04688417157594
Family,Structure,"Couple, no children",0.22310659430129
Family,Structure,Couple with children,0.18228201895235
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.353983982781517
Family,Number of Children by Age,Children aged 0 - 5: 0,0.886313755805755
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0811831942368753
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.032503049957369
Family,Number of Children by Age,Children aged 6 - 15: 0,0.760448193600633
Family,Number of Children by Age,Children aged 6 - 15: 1,0.128246653150359
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.111305153249007
Family,Children in household,Children at home: 0,0.694165779233451
Family,Children in household,Children at home: 1,0.155428172378506
Family,Children in household,Children at home: 2,0.101936565992033
Family,Children in household,Children at home: 3+,0.0484694823960087
Family,Household Size,Household size: 1 person,0.194329055486323
Family,Household Size,Household size: 2 persons,0.387864988467777
Family,Household Size,Household size: 3 - 4 persons,0.339104099937346
Family,Household Size,Household size: 5+ persons,0.0787018561085531
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.0549270288856211
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.211151018771751
Economy,NS SEC (% of people in employment),Intermediate occupations,0.13962999204063
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.0819968868030165
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.0950123870986999
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.257117923266213
Economy,NS SEC (% of people in employment),Routine occupations,0.160164763134067
Economy,Social Grade,A,0.021531851713155
Economy,Social Grade,B,0.150586439551633
Economy,Social Grade,C1,0.298757692325861
Economy,Social Grade,C2,0.217288880953146
Economy,Social Grade,D,0.189762785823325
Economy,Social Grade,E,0.122072349632877
Economy,Occupation,Director / managerial,0.0302558312607476
Economy,Occupation,Professional,0.167686532125488
Economy,Occupation,Looking after home,0.185136967451876
Economy,Occupation,Office worker,0.0571609116855496
Economy,Occupation,Retired,0.126757838585784
Economy,Occupation,Self employed,0.0501213091944144
Economy,Occupation,Shop worker,0.115591964417815
Economy,Occupation,Skilled / manual worker,0.195261210876897
Economy,Occupation,Student,0.0378918034759245
Economy,Occupation,Unemployed,0.0341356309255004
Education,Highest Level of Qualifications (Adults),Degree or higher degree,0.161696354225679
Education,Highest Level of Qualifications (Adults),Higher education below degree level,0.104016765109459
Education,Highest Level of Qualifications (Adults),A-levels / AS-levels or Highers,0.0944966450544485
Education,Highest Level of Qualifications (Adults),GCSE / O-levels / CSE / School Certificate,0.377749785244912
Education,Highest Level of Qualifications (Adults),None of the above,0.2620404503655
Transport,Travel To Work (% of Workers),Train / tube / tram,0.0377529373340848
Transport,Travel To Work (% of Workers),Car / van / motorbike (driver or passenger),0.682969742637245
Transport,Travel To Work (% of Workers),Bus / minibus / coach,0.0688031488513376
Transport,Travel To Work (% of Workers),Bicycle,0.0314559358798693
Transport,Travel To Work (% of Workers),On foot,0.149346327334277
Transport,Travel To Work (% of Workers),Other (inc taxi / minicab),0.012681477967284
Transport,Travel To Work (% of Workers),Works mainly from home,0.0169904299959013
Transport,Car Ownership,Number of cars: 0,0.269567684002174
Transport,Car Ownership,Number of cars: 1,0.542647379981495
Transport,Car Ownership,Number of cars: 2,0.162881087443091
Transport,Car Ownership,Number of cars: 3+,0.024903848573238
Transport,Car Ownership,Less than 3 years old,0.107103525488282
Transport,Car type,Main car: Company car,0.00846581697215695
Transport,Car type,Main car: Privately owned,0.721966499025668
Transport,Car type,Main car class: Saloon,0.0928121904684587
Transport,Car type,Main car class: Hatchback,0.400358557173339
Transport,Car type,Main car class: Estate,0.0580951501303715
Transport,Car type,Main car class: Luxury,0.028970057696015
Transport,Car type,Main car class: Other,0.15019636052964
Transport,Car type,Bought main car new,0.155547785727917
Transport,Car type,Bought main car used,0.574884530269907
Transport,Car type,Main car uses: Traditional fuel,0.663720086768685
Transport,Car type,Main car uses: Mild hybrid (i.e. engine and electric motor power the car and can't be used independently of each other),0.015536928696332
Transport,Car type,"Main car uses: Full hybrid (i.e. engine and electric motor power the car, either simultaneously or independently)",0.025490220243531
Transport,Car type,Main car uses: Plug-in hybrid (i.e. engine and electric motor power the car that charges using a plug - in),0.00891684672305543
Transport,Car type,Main car uses: Electric,0.0157650051483714
Transport,Car type,Main car uses: Other alternative fuels,0.00100322841784962
Transport,Mileage,"Yearly mileage: 0 - 5,000 miles",0.400392341060778
Transport,Mileage,"Yearly mileage: 5,000 - 10,000 miles",0.223609805228646
Transport,Mileage,"Yearly mileage: 10,000+ miles",0.1064301697084
Finance,Household Annual Gross Income,"£0 - £20,000",0.218280690327616
Finance,Household Annual Gross Income,"£20,000 - £40,000",0.361640958505601
Finance,Household Annual Gross Income,"£40,000 - £60,000",0.244350013029662
Finance,Household Annual Gross Income,"£60,000 - £80,000",0.117727894244124
Finance,Household Annual Gross Income,"£80,000 - £100,000",0.0302814034105902
Finance,Household Annual Gross Income,"£100,000+",0.0277190404824053
Finance,Household Annual Gross Income,Average (Mean) Household Income,39769.8289023516
Finance,Disposable Income,Income after Income tax and National Insurance,33154.6048226032
