Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0410562445411685
Population,Age,Age 5 - 17,0.139156234344981
Population,Age,Age 18 - 24,0.0581327463118259
Population,Age,Age 25 - 34,0.0918594004119098
Population,Age,Age 35 - 49,0.175827515104736
Population,Age,Age 50 - 64,0.230286215217578
Population,Age,Age 65 - 74,0.13370941912503
Population (16+),Geography,England,0.823468201776196
Population (16+),Geography,Wales,0.0476110846548289
Population (16+),Geography,Scotland,0.096702199566844
Population (16+),Geography,Northern Ireland,0.0322185140021303
Population (16+),Ethnicity,White,0.966521871748606
Population (16+),Ethnicity,Mixed,0.00958531606720349
Population (16+),Ethnicity,Asian,0.0154482391620484
Population (16+),Ethnicity,Black,0.00376773346362917
Population (16+),Ethnicity,Other ethnicity,0.00467683955851263
Population (16+),Country of Birth,UK / ROI,0.946827573777356
Population (16+),Country of Birth,Rest of Europe,0.0140983850171028
Population (16+),Country of Birth,Australia and New Zealand,0.00148123919186601
Population (16+),Country of Birth,North America,0.00413332789326192
Population (16+),Country of Birth,Middle East and Asia,0.00860381269814771
Population (16+),Country of Birth,Africa,0.00259176724265563
Population (16+),Country of Birth,Other,0.0222638941796092
Population (16+),Religion,Christian,0.475678442347891
Population (16+),Religion,Jewish,0.00157557465700688
Population (16+),Religion,Buddhist,0.00158054126877969
Population (16+),Religion,Muslim,0.0045887398067442
Population (16+),Religion,Hindu,0.00384635497346396
Population (16+),Religion,Sikh,0.00428057195855064
Population (16+),Religion,Other religion,0.00473547258398817
Population (16+),Religion,No religion,0.503714302403575
Housing,House Type,Detached house,0.744956801981619
Housing,House Type,Flat or maisonette,0.0303770890430512
Housing,House Type,Semi-detached house,0.183152048099627
Housing,House Type,Terraced house,0.0415140608757018
Housing,House Type,Bungalow,0.155127865598841
Housing,House Tenure,Owned outright,0.615652553180722
Housing,House Tenure,Mortgaged: full ownership,0.291280092736686
Housing,House Tenure,Mortgaged: shared ownership,0.00960731848423147
Housing,House Tenure,Privately rented,0.06796652114907
Housing,House Tenure,Social renting,0.015493514449289
Housing,House Size,Number of beds: 1,0.0206945114527614
Housing,House Size,Number of beds: 2,0.119742653674813
Housing,House Size,Number of beds: 3,0.432747327225223
Housing,House Size,Number of beds: 4,0.368237774943066
Housing,House Size,Number of beds: 5+,0.0585777327041354
Housing,House Value,House value up to 100k,0.00553109017728235
Housing,House Value,House value 100k - 150k,0.0228490665697999
Housing,House Value,House value 150k - 250k,0.172929683915471
Housing,House Value,House value 250k - 500k,0.56886516161797
Housing,House Value,House value 500k - 750k,0.168548054758441
Housing,House Value,House value 750k - 1m,0.0405643627293974
Housing,House Value,House value 1m+,0.0207125802316376
Housing,House Move,Individual likely to move,0.247839612330849
Housing,House Move,Individual moves to a property on their own,0.0631106882013234
Housing,House Move,Individual moves to a property with one other person in the household,0.137901067342115
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0468278567874106
Housing,House Move,Individual moves to owner occupied housing,0.194340127323548
Housing,House Move,Individual moves to private renting,0.0405745249490951
Housing,House Move,Individual moves to social renting,0.0129249600582055
Housing,House Move,Individual moves to flat,0.0207481979483502
Housing,House Move,Individual moves to terraced house,0.0328448415079194
Housing,House Move,Individual moves to semi-detached,0.067542119507605
Housing,House Move,Individual moves to detached house,0.126704453366974
Housing,Gentrification,Proportion of addresses applied for extension,0.0195269466312175
Housing,Gentrification,Churn rate within last 5 years,0.184918532506399
Housing,Gentrification,Annualised Price % change in last 5 years,0.10673298902924
Family,Structure,"Single person, no children",0.10912227572001
Family,Structure,Single parent,0.0131212587441898
Family,Structure,"Couple, no children",0.388124803754045
Family,Structure,Couple with children,0.179594492788891
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.310037168992862
Family,Number of Children by Age,Children aged 0 - 5: 0,0.925334098049703
Family,Number of Children by Age,Children aged 0 - 5: 1,0.0547842682747442
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.0198816336755521
Family,Number of Children by Age,Children aged 6 - 15: 0,0.810374196038202
Family,Number of Children by Age,Children aged 6 - 15: 1,0.103680117949469
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0859456860123276
Family,Children in household,Children at home: 0,0.763878837918165
Family,Children in household,Children at home: 1,0.126007199218745
Family,Children in household,Children at home: 2,0.0808671039011499
Family,Children in household,Children at home: 3+,0.0292468589619391
Family,Household Size,Household size: 1 person,0.128380345807175
Family,Household Size,Household size: 2 persons,0.513606042246243
Family,Household Size,Household size: 3 - 4 persons,0.308530556345499
Family,Household Size,Household size: 5+ persons,0.0494830556010815
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.153879495620252
