Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.00752713447281329
Population,Age,Age 5 - 17,0.0713686072152139
Population,Age,Age 18 - 24,0.38680382214561
Population,Age,Age 25 - 34,0.103547163053089
Population,Age,Age 35 - 49,0.0785532261013294
Population,Age,Age 50 - 64,0.0730759615994507
Population,Age,Age 65 - 74,0.0500386169534022
Population (16+),Geography,England,0.803402026862698
Population (16+),Geography,Wales,0.0262180081880785
Population (16+),Geography,Scotland,0.119702115983877
Population (16+),Geography,Northern Ireland,0.0506778489653448
Population (16+),Ethnicity,White,0.921878484269767
Population (16+),Ethnicity,Mixed,0.00988834747746402
Population (16+),Ethnicity,Asian,0.03910058870126
Population (16+),Ethnicity,Black,0.00680237589977687
Population (16+),Ethnicity,Other ethnicity,0.0223302036517312
Population (16+),Country of Birth,UK / ROI,0.933649332935409
Population (16+),Country of Birth,Rest of Europe,0.027293591163519
Population (16+),Country of Birth,Australia and New Zealand,0.00103559003673623
Population (16+),Country of Birth,North America,0.0013691607752378
Population (16+),Country of Birth,Middle East and Asia,0.00977864743608756
Population (16+),Country of Birth,Africa,0.0078449577672405
Population (16+),Country of Birth,Other,0.0190287198857699
Population (16+),Religion,Christian,0.426040420957789
Population (16+),Religion,Jewish,0.00135820856361154
Population (16+),Religion,Buddhist,0.00685554172782221
Population (16+),Religion,Muslim,0.00700198749910686
Population (16+),Religion,Hindu,0.0078269577801706
Population (16+),Religion,Sikh,0.00135867720393228
Population (16+),Religion,Other religion,0.00647222625600823
Population (16+),Religion,No religion,0.543085980011558
Housing,House Type,Detached house,0.281623701736317
Housing,House Type,Flat or maisonette,0.351114812325312
Housing,House Type,Semi-detached house,0.224634443951843
Housing,House Type,Terraced house,0.142627041986526
Housing,House Type,Bungalow,0.12949229172803
Housing,House Tenure,Owned outright,0.319696175781924
Housing,House Tenure,Mortgaged: full ownership,0.226632876022909
Housing,House Tenure,Mortgaged: shared ownership,0.0628314020198526
Housing,House Tenure,Privately rented,0.272206428629323
Housing,House Tenure,Social renting,0.11863311754599
Housing,House Size,Number of beds: 1,0.143054553055044
Housing,House Size,Number of beds: 2,0.214418762767268
Housing,House Size,Number of beds: 3,0.324299093513317
Housing,House Size,Number of beds: 4,0.185527301871003
Housing,House Size,Number of beds: 5+,0.132700288793366
Housing,House Value,House value up to 100k,0.0838546968726754
Housing,House Value,House value 100k - 150k,0.146864562351207
Housing,House Value,House value 150k - 250k,0.277989561225313
Housing,House Value,House value 250k - 500k,0.325220084647648
Housing,House Value,House value 500k - 750k,0.0936617572544181
Housing,House Value,House value 750k - 1m,0.0337186847263786
Housing,House Value,House value 1m+,0.0386906529223577
Housing,House Move,Individual likely to move,0.224467542921061
Housing,House Move,Individual moves to a property on their own,0.10084688188757
Housing,House Move,Individual moves to a property with one other person in the household,0.096531514601244
Housing,House Move,Individual moves to a property with two or more other people in the household,0.0270891464322468
Housing,House Move,Individual moves to owner occupied housing,0.12682464320464
Housing,House Move,Individual moves to private renting,0.0672554509368712
Housing,House Move,Individual moves to social renting,0.030387448779549
Housing,House Move,Individual moves to flat,0.0537968998869674
Housing,House Move,Individual moves to terraced house,0.0575860760658339
Housing,House Move,Individual moves to semi-detached,0.0683052149136819
Housing,House Move,Individual moves to detached house,0.0447793520545777
Housing,Gentrification,Proportion of addresses applied for extension,0.0118125765384143
Housing,Gentrification,Churn rate within last 5 years,0.116430967596994
Housing,Gentrification,Annualised Price % change in last 5 years,0.111546421222265
Family,Structure,"Single person, no children",0.350538942689732
Family,Structure,Single parent,0.0244218602077577
Family,Structure,"Couple, no children",0.286259894879924
Family,Structure,Couple with children,0.131171443874219
Family,Structure,"Other: two or more adults, may include a couple, may have children",0.207607858348366
Family,Number of Children by Age,Children aged 0 - 5: 0,0.98678662923839
Family,Number of Children by Age,Children aged 0 - 5: 1,0.00820325366184406
Family,Number of Children by Age,Children aged 0 - 5: 2+,0.00501011709976565
Family,Number of Children by Age,Children aged 6 - 15: 0,0.859483564476353
Family,Number of Children by Age,Children aged 6 - 15: 1,0.053841993814238
Family,Number of Children by Age,Children aged 6 - 15: 2+,0.0866744417094086
Family,Children in household,Children at home: 0,0.664051858090407
Family,Children in household,Children at home: 1,0.173393268172507
Family,Children in household,Children at home: 2,0.11273480847131
Family,Children in household,Children at home: 3+,0.0498200652657743
Family,Household Size,Household size: 1 person,0.19405457244086
Family,Household Size,Household size: 2 persons,0.234396912648555
Family,Household Size,Household size: 3 - 4 persons,0.425987870094451
Family,Household Size,Household size: 5+ persons,0.145560644816132
Economy,NS SEC (% of people in employment),"Higher managerial, administrative and professional occupations",0.226665938943257
Economy,NS SEC (% of people in employment),"Lower managerial, administrative and professional occupations",0.266213869935585
Economy,NS SEC (% of people in employment),Intermediate occupations,0.174188949003592
Economy,NS SEC (% of people in employment),Small employers and own account workers,0.135492132922597
Economy,NS SEC (% of people in employment),Lower supervisory and technical occupations,0.0492987222390604
Economy,NS SEC (% of people in employment),Semi-routine occupations,0.114720998021811
Economy,NS SEC (% of people in employment),Routine occupations,0.0334193889340938
Economy,Social Grade,A,0.0760782290115218
Economy,Social Grade,B,0.27562159177594
Economy,Social Grade,C1,0.335017237296682
Economy,Social Grade,C2,0.156619588220913
Economy,Social Grade,D,0.106278735046469
