Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0497556024194894
Population,Age,Age 5 - 17,0.110276306101509
Population,Age,Age 18 - 24,0.145562504183439
Population,Age,Age 25 - 34,0.220912282069292
Population,Age,Age 35 - 49,0.211297150008176
Population,Age,Age 50 - 64,0.14772941980887
Population,Age,Age 65 - 74,0.0601489600923194
Population (16+),Geography,England,0.861613931920504
Population (16+),Geography,Wales,0.0246234912706354
Population (16+),Geography,Scotland,0.108668043992077
Population (16+),Geography,Northern Ireland,0.00509453281678289
Population (16+),Ethnicity,White,0.84922400252017
Population (16+),Ethnicity,Mixed,0.0271561897318805
Population (16+),Ethnicity,Asian,0.076329245180725
Population (16+),Ethnicity,Black,0.0183612651199218
Population (16+),Ethnicity,Other ethnicity,0.0289292974473017
Population (16+),Country of Birth,UK / ROI,0.820438384017934
Population (16+),Country of Birth,Rest of Europe,0.0306196371212433
Population (16+),Country of Birth,Australia and New Zealand,0.00420934253172614
Population (16+),Country of Birth,North America,0.0140096783325153
Population (16+),Country of Birth,Middle East and Asia,0.0417694839517489
Population (16+),Country of Birth,Africa,0.0153129917475593
Population (16+),Country of Birth,Other,0.0736404822972726
Population (16+),Religion,Christian,0.331964993012106
Population (16+),Religion,Jewish,0.00434483190084131
Population (16+),Religion,Buddhist,0.00875384896603996
Population (16+),Religion,Muslim,0.0465770559405175
Population (16+),Religion,Hindu,0.00878091149192198
Population (16+),Religion,Sikh,0.00232351185137877
Population (16+),Religion,Other religion,0.0241597239786871
Population (16+),Religion,No religion,0.573095122858507
Housing,House Type,Detached house,0.0887242883067862
Housing,House Type,Flat or maisonette,0.624084028904156
Housing,House Type,Semi-detached house,0.140675163758649
Housing,House Type,Terraced house,0.146516519030408
Housing,House Type,Bungalow,0.0283121996217801
Housing,House Tenure,Owned outright,0.205873777748101
Housing,House Tenure,Mortgaged: full ownership,0.211755589669501
Housing,House Tenure,Mortgaged: shared ownership,0.0357532719179998
Housing,House Tenure,Privately rented,0.439339063125633
Housing,House Tenure,Social renting,0.107278297538763
