Category,Question,Answer,Value
Population,Age,Age 0 - 4,0.0474812296472049
Population,Age,Age 5 - 17,0.141122996568389
Population,Age,Age 18 - 24,0.0656307973120376
Population,Age,Age 25 - 34,0.117931011489127
Population,Age,Age 35 - 49,0.18133245618924
Population,Age,Age 50 - 64,0.209700719364316
Population,Age,Age 65 - 74,0.118310698105846
Population (16+),Geography,England,0.881709883254816
Population (16+),Geography,Wales,0.0529309369321864
Population (16+),Geography,Scotland,0.0458725158504115
Population (16+),Geography,Northern Ireland,0.0194866639625853
Population (16+),Ethnicity,White,0.948566299683735
Population (16+),Ethnicity,Mixed,0.0125272855650151
Population (16+),Ethnicity,Asian,0.0324774430205301
Population (16+),Ethnicity,Black,0.0029572541568179
Population (16+),Ethnicity,Other ethnicity,0.00347171757390119
Population (16+),Country of Birth,UK / ROI,0.945922321557385
Population (16+),Country of Birth,Rest of Europe,0.0109714349373869
Population (16+),Country of Birth,Australia and New Zealand,0.00030235085075926
Population (16+),Country of Birth,North America,0.00310917222238132
Population (16+),Country of Birth,Middle East and Asia,0.0179373334213826
Population (16+),Country of Birth,Africa,0.00244290676741364
Population (16+),Country of Birth,Other,0.0193144802432909
Population (16+),Religion,Christian,0.459839490141175
Population (16+),Religion,Jewish,0.000974782675270849
Population (16+),Religion,Buddhist,0.00267091847818474
Population (16+),Religion,Muslim,0.0123744436823145
Population (16+),Religion,Hindu,0.0060517000474955
Population (16+),Religion,Sikh,0.00553923086590879
Population (16+),Religion,Other religion,0.00850522104541687
Population (16+),Religion,No religion,0.504044213064233
Housing,House Type,Detached house,0.165971232613465
Housing,House Type,Flat or maisonette,0.0231039408825615
Housing,House Type,Semi-detached house,0.747059582119123
Housing,House Type,Terraced house,0.0638652443848493
Housing,House Type,Bungalow,0.136567390397747
Housing,House Tenure,Owned outright,0.548822635667977
Housing,House Tenure,Mortgaged: full ownership,0.318693348917831
Housing,House Tenure,Mortgaged: shared ownership,0.0132899494091757
Housing,House Tenure,Privately rented,0.0826469044790247
