message,wave,sheets,count,rows,cols,total,concepts,by_wave,initial,final,removed,verbatims_affected,distribution,toxic_count
Opened file: Witty Optimist_S&G Jan'24 Verbatims V2.xlsx,Jan24,6,,,,,,,,,,,,
UK sheets found,Jan24,"['UK Likes', 'UK Dislikes', 'UK range verbatims']",3.0,,,,,,,,,,,
Sheet loaded: UK Likes,Jan24,,,42.0,12.0,,,,,,,,,
Sheet loaded: UK Dislikes,Jan24,,,16.0,12.0,,,,,,,,,
Sheet loaded: UK range verbatims,Jan24,,,47.0,4.0,,,,,,,,,
Total verbatims extracted,Jan24,,769.0,,,,,,,,,,,
Opened file: Witty Optimist_S&G FY25 Verbatims V2.xlsx,FY25,4,,,,,,,,,,,,
UK sheets found,FY25,"['UK Likes', 'UK Dislikes']",2.0,,,,,,,,,,,
Sheet loaded: UK Likes,FY25,,,41.0,4.0,,,,,,,,,
Sheet loaded: UK Dislikes,FY25,,,11.0,4.0,,,,,,,,,
Total verbatims extracted,FY25,,191.0,,,,,,,,,,,
Opened file: Witty Optimist_S&G FY26 Verbatims V2.xlsx,FY26,4,,,,,,,,,,,,
UK sheets found,FY26,"['UK Likes', 'UK Dislikes']",2.0,,,,,,,,,,,
Sheet loaded: UK Likes,FY26,,,56.0,5.0,,,,,,,,,
Sheet loaded: UK Dislikes,FY26,,,21.0,5.0,,,,,,,,,
Total verbatims extracted,FY26,,349.0,,,,,,,,,,,
Combined all verbatims,,,,,,1309.0,25.0,"{'Jan24': 769, 'FY26': 349, 'FY25': 191}",,,,,,
Deduplication,,,,,,,,,1309.0,1309.0,0.0,,,
PII scrubbing,,,,,,,,,,,,4.0,,
Sentiment analysis,,,,,,,,,,,,,"{'neutral': 655, 'positive': 594, 'negative': 60}",
Toxicity check,,,,,,,,,,,,,,1.0
Topic labeling,,,,,,,,,,,,,"{'general': 910, 'skincare': 126, 'scent': 101, 'ingredients': 63, 'price': 52, 'brand': 34, 'packaging': 23}",
Respondents table created,,,1049.0,,,,,"{'Jan24': 629, 'FY26': 270, 'FY25': 150}",,,,,,
Concept metrics created,,,25.0,,,,,,,,,,,
Verbatims table created,,,1309.0,,,,25.0,"{'Jan24': 769, 'FY26': 349, 'FY25': 191}",,,,,,
