respondent_id,wave,source_file,region,age,gender,acorn_group
fy25_csg_be_me_body_sprays_r0000,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0001,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0002,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0003,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0004,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0005,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0006,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0007,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0008,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0009,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0010,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0011,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0012,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0013,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0014,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0015,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0016,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0017,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0018,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0019,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0020,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0021,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0022,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0023,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0024,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0025,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0026,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0027,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0028,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0029,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0030,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0031,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0032,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0033,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0034,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0035,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0036,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0037,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0038,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_be_me_body_sprays_r0039,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0000,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0001,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0002,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0003,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0004,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0005,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0006,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0007,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0008,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0009,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0010,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0011,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0012,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0013,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0014,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0015,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
fy25_csg_embrace_me_bodycare_r0016,FY25,Witty Optimist_S&G FY25 Verbatims V2.xlsx,UK,,,
