Market,Sentiment,Concept,Verbatim,Period
UK,Dislikes,S&G Be Me Body Sprays,Too much written info,FY25
UK,Dislikes,S&G Be Me Body Sprays,Don’t like the idea of spraying scents on my face,FY25
UK,Dislikes,S&G Be Me Body Sprays,I am not sure about the final effect.,FY25
UK,Dislikes,S&G Be Me Body Sprays,Dont like the 'marking your territory' phrase. Makes it sound like wee!,FY25
UK,Dislikes,S&G Be Me Body Sprays,Only thing is that it doesn't feel that unique - most perfumes would smell difference on everyone as it reacts to natural body oil etc.,FY25
UK,Dislikes,S&G Be Me Body Sprays,I'm not convinced it will work as described,FY25
UK,Dislikes,S&G Be Me Body Sprays,Nothing at the moment,FY25
UK,Dislikes,S&G Be Me Body Sprays,"Telling the consumer that it can be used ""anywhere"" on your body. There are certain intimate parts that do not need shower products at all, so could be misleading.",FY25
UK,Dislikes,S&G Be Me Body Sprays,Not a product I would buy,FY25
UK,Dislikes,S&G Be Me Body Sprays,Not sure if i would like the scent,FY25
UK,Dislikes,S&G Be Me Body Sprays,Just don't use that hrand,FY25
UK,Dislikes,S&G Embrace Me Bodycare,Too much to read,FY25
UK,Dislikes,S&G Embrace Me Bodycare,I dislike how it talks about probiotic,FY25
UK,Dislikes,S&G Embrace Me Bodycare,Lots of information,FY25
UK,Dislikes,S&G Embrace Me Bodycare,Nothing,FY25
UK,Dislikes,S&G Embrace Me Bodycare,menthol can feel a bit stingy on the skin,FY25
UK,Dislikes,S&G Embrace Me Bodycare,To much to read and see,FY25
UK,Dislikes,S&G Embrace Me Bodycare,I don't really understand why it claims to be supporting individual needs when there are only 4 products.,FY25
UK,Dislikes,S&G Embrace Me Bodycare,Nothing at the moment,FY25
UK,Dislikes,S&G Embrace Me Bodycare,nothing,FY25
UK,Dislikes,S&G Embrace Me Bodycare,Unnecessary,FY25
UK,Dislikes,S&G Embrace Me Bodycare,just a little price high,FY25
UK,Dislikes,S&G Original Pink Suncare,Too much to read,FY25
UK,Dislikes,S&G Original Pink Suncare,Just not interested,FY25
UK,Dislikes,S&G Original Pink Suncare,Nothing,FY25
UK,Dislikes,S&G Original Pink Suncare,Prefer established sun creams,FY25
UK,Dislikes,S&G Original Pink Suncare,I use mineral sunscreens rather then chemical ones and this product does not state that it is the former.,FY25
UK,Dislikes,S&G Original Pink Suncare,that there is no SPF50 option or a face option,FY25
UK,Dislikes,S&G Original Pink Suncare,Price?,FY25
UK,Dislikes,S&G Original Pink Suncare,"I'm not convinced it will be as effective as other products. Sun protection should be first priority, not how nice it smells",FY25
UK,Dislikes,S&G Original Pink Suncare,It sounds like it smells god,FY25
UK,Dislikes,S&G Original Pink Suncare,The brand,FY25
UK,Dislikes,S&G Original Pink Suncare,Too cluttered,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,The word probiotic,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Label isn’t that eye catching,FY25
UK,Dislikes,S&G Rebalancing Probiotic Bodycare,Nothing,FY25
