Market,Sentiment,Concept,Verbatim
UK,Dislikes,S&G Be Me Body Sprays,Too much written info
UK,Dislikes,S&G Be Me Body Sprays,Don’t like the idea of spraying scents on my face
UK,Dislikes,S&G Be Me Body Sprays,I am not sure about the final effect.
UK,Dislikes,S&G Be Me Body Sprays,Dont like the 'marking your territory' phrase. Makes it sound like wee!
UK,Dislikes,S&G Be Me Body Sprays,Only thing is that it doesn't feel that unique - most perfumes would smell difference on everyone as it reacts to natural body oil etc.
UK,Dislikes,S&G Be Me Body Sprays,I'm not convinced it will work as described
UK,Dislikes,S&G Be Me Body Sprays,Nothing at the moment
UK,Dislikes,S&G Be Me Body Sprays,"Telling the consumer that it can be used ""anywhere"" on your body. There are certain intimate parts that do not need shower products at all, so could be misleading."
UK,Dislikes,S&G Be Me Body Sprays,Not a product I would buy
UK,Dislikes,S&G Be Me Body Sprays,Not sure if i would like the scent
UK,Dislikes,S&G Be Me Body Sprays,Just don't use that hrand
UK,Dislikes,S&G Embrace Me Bodycare,Too much to read
UK,Dislikes,S&G Embrace Me Bodycare,I dislike how it talks about probiotic
UK,Dislikes,S&G Embrace Me Bodycare,Lots of information
UK,Dislikes,S&G Embrace Me Bodycare,Nothing
UK,Dislikes,S&G Embrace Me Bodycare,menthol can feel a bit stingy on the skin
UK,Dislikes,S&G Embrace Me Bodycare,To much to read and see
UK,Dislikes,S&G Embrace Me Bodycare,I don't really understand why it claims to be supporting individual needs when there are only 4 products.
UK,Dislikes,S&G Embrace Me Bodycare,Nothing at the moment
UK,Dislikes,S&G Embrace Me Bodycare,nothing
UK,Dislikes,S&G Embrace Me Bodycare,Unnecessary
UK,Dislikes,S&G Embrace Me Bodycare,just a little price high
UK,Dislikes,S&G Original Pink Suncare,Too much to read
UK,Dislikes,S&G Original Pink Suncare,Just not interested
UK,Dislikes,S&G Original Pink Suncare,Nothing
UK,Dislikes,S&G Original Pink Suncare,Prefer established sun creams
UK,Dislikes,S&G Original Pink Suncare,I use mineral sunscreens rather then chemical ones and this product does not state that it is the former.
UK,Dislikes,S&G Original Pink Suncare,that there is no SPF50 option or a face option
