Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,26.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,25.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,44.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,27.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,90.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,45.0
KPI_Scores,believability_pcttop,believability_pcttop,30.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,68.0
KPI_Scores,trial,trial,29.0
KPI_Scores,inc_trial_brand,inc_trial_brand,27.0
