Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,46.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,75.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,84.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,38.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,95.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,78.0
KPI_Scores,believability_pcttop,believability_pcttop,72.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,84.0
KPI_Scores,trial,trial,55.0
KPI_Scores,inc_trial_brand,inc_trial_brand,50.0
