Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,30.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,68.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,79.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,44.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,81.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,72.0
KPI_Scores,believability_pcttop,believability_pcttop,43.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,76.0
KPI_Scores,trial,trial,52.0
KPI_Scores,inc_trial_brand,inc_trial_brand,45.0
