Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,50.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,86.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,87.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,56.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,98.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,69.0
KPI_Scores,believability_pcttop,believability_pcttop,59.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,88.0
KPI_Scores,trial,trial,69.0
KPI_Scores,inc_trial_brand,inc_trial_brand,62.0
