Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,54.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,74.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,72.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,55.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,96.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,85.0
KPI_Scores,believability_pcttop,believability_pcttop,46.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,74.0
KPI_Scores,trial,trial,75.0
KPI_Scores,inc_trial_brand,inc_trial_brand,67.0
