Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,45.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,68.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,71.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,58.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,86.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,81.0
KPI_Scores,believability_pcttop,believability_pcttop,49.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,69.0
KPI_Scores,trial,trial,64.0
KPI_Scores,inc_trial_brand,inc_trial_brand,57.0
