Category,Question,Answer,Value
KPI_Scores,pur_intent_pcttop,pur_intent_pcttop,36.0
KPI_Scores,appeal_pcttop_2,appeal_pcttop_2,56.0
KPI_Scores,uniqueness_pcttop_2,uniqueness_pcttop_2,67.0
KPI_Scores,relevance_pcttop_2,relevance_pcttop_2,53.0
KPI_Scores,excitement_pcttop_2,excitement_pcttop_2,83.0
KPI_Scores,price_value_pcttop_2,price_value_pcttop_2,86.0
KPI_Scores,believability_pcttop,believability_pcttop,39.0
KPI_Scores,understanding_pcttop_3,understanding_pcttop_3,75.0
KPI_Scores,trial,trial,55.0
KPI_Scores,inc_trial_brand,inc_trial_brand,52.0
