concept_id,concept_name,pur_intent_pcttop,wave
nourishing_solid_body_oil_stick,Nourishing Solid Body Oil Stick,32.0,soap_glory_fy26_concept_test
ph_v_friendly_scent_sitive_bath_bomb,pH 'V' friendly Scent-sitive bath Bomb,26.0,soap_glory_fy26_concept_test
sg_be_me_body_sprays,S&G Be Me Body Sprays,29.0,soap_glory_fy25_concept_test
sg_embrace_me_bodycare,S&G Embrace Me Bodycare,37.0,soap_glory_fy25_concept_test
sg_original_pink_suncare,S&G Original Pink Suncare,35.0,soap_glory_fy25_concept_test
sg_rebalancing_probiotic_bodycare,S&G Rebalancing Probiotic Bodycare,26.0,soap_glory_fy25_concept_test
skin_benefit_scrub_collection_x3,Skin Benefit Scrub Collection x3,27.0,soap_glory_fy26_concept_test
soap_glory_girls_night_out_cool_aid,Soap & Glory Girl's Night Out Cool Aid​,38.0,soap_glory_jan_24
soap_glory_girls_night_out_stardust_stick,Soap & Glory Girl's Night Out Stardust Stick​,46.0,soap_glory_jan_24
soap_glory_liquid_lingerie_glow_gloves,Soap & Glory Liquid Lingerie Glow Gloves​,30.0,soap_glory_jan_24
soap_glory_liquid_lingerie_glow_on,Soap & Glory Liquid Lingerie Glow-on​,48.0,soap_glory_jan_24
soap_glory_liquid_lingerie_its_blur_fect,Soap & Glory Liquid Lingerie It’s Blur-fect!​,50.0,soap_glory_jan_24
soap_glory_mission_possible_bounce_back_body_balm,Soap & Glory Mission Possible Bounce Back Body Balm​,54.0,soap_glory_jan_24
soap_glory_mission_possible_smooth_operator_elixir,Soap & Glory Mission Possible Smooth Operator Elixir​,46.0,soap_glory_jan_24
soap_glory_mission_possible_time_travel_body_lotion,Soap & Glory Mission Possible Time Travel Body Lotion​,45.0,soap_glory_jan_24
soap_glory_wake_up_glorious_magni_serum,Soap & Glory Wake-Up Glorious Magni-Serum​,47.0,soap_glory_jan_24
soap_glory_wake_up_glorious_press_play_spray,Soap & Glory Wake-Up Glorious Press Play Spray​,54.0,soap_glory_jan_24
soap_glory_wake_up_glorious_slumberland_soak,Soap & Glory Wake-Up Glorious Slumberland Soak​,51.0,soap_glory_jan_24
time_travel_body_lotion_for_stretch_marks,Time Travel Body Lotion For Stretch Marks,36.0,soap_glory_fy27_july_2024
time_travel_glow_on_gradual_tan_lotion,Time Travel 'Glow-On' Gradual Tan Lotion,43.0,soap_glory_fy27_july_2024
