class,class_r2,question_type,question_value,question_full,predicted,actual,error
aspiring_communities,0.6984511182905166,Payment Preferences,Cash preference,I like to use cash when making purchases,55.0,30.5,24.5
aspiring_communities,0.6984511182905166,Debt Attitudes,Debt aversion,I don't like the idea of being in debt,45.0,43.1,1.9
aspiring_communities,0.6984511182905166,Energy Behavior,Energy saving,Make an effort to cut down on the use of gas / electricity in the home,65.0,73.3,8.3
aspiring_communities,0.6984511182905166,Environmental Attitudes,Environmental sustainability,I think brands should consider environmental sustainability when developing products and services,30.0,26.5,3.5
aspiring_communities,0.6984511182905166,Transport,Fuel consumption,Fuel consumption is the most important feature when choosing a new car,25.0,13.4,11.6
aspiring_communities,0.6984511182905166,Health Behavior,Healthy eating,Healthy Eating,40.0,38.1,1.9
aspiring_communities,0.6984511182905166,Insurance Attitudes,Insurance importance,It is important to be well insured for everything,25.0,10.5,14.5
aspiring_communities,0.6984511182905166,Financial Confidence,Money management,I am very good at managing money,50.0,58.0,8.0
aspiring_communities,0.6984511182905166,Retirement Attitudes,Retirement responsibility,Financial security after retirement is your own responsibility not that of the state,58.0,62.9,4.9
aspiring_communities,0.6984511182905166,Switching Behavior,Switching providers,Switching utilities suppliers is well worth the effort for the savings you can make,40.0,33.7,6.3
cash-strapped_families,0.8176582915631504,Payment Preferences,Cash preference,I like to use cash when making purchases,55.0,41.3,13.7
cash-strapped_families,0.8176582915631504,Debt Attitudes,Debt aversion,I don't like the idea of being in debt,45.0,43.9,1.1
cash-strapped_families,0.8176582915631504,Energy Behavior,Energy saving,Make an effort to cut down on the use of gas / electricity in the home,75.0,72.4,2.6
cash-strapped_families,0.8176582915631504,Environmental Attitudes,Environmental sustainability,I think brands should consider environmental sustainability when developing products and services,30.0,27.1,2.9
cash-strapped_families,0.8176582915631504,Transport,Fuel consumption,Fuel consumption is the most important feature when choosing a new car,15.0,18.9,3.9
cash-strapped_families,0.8176582915631504,Health Behavior,Healthy eating,Healthy Eating,40.0,31.4,8.6
cash-strapped_families,0.8176582915631504,Insurance Attitudes,Insurance importance,It is important to be well insured for everything,25.0,12.4,12.6
cash-strapped_families,0.8176582915631504,Financial Confidence,Money management,I am very good at managing money,45.0,48.7,3.7
