class,question,question_short,predicted,actual,error,performance,question_category
aspiring_communities,Financial security after retirement is your own re...,Retirement responsibility,58.0,62.9,4.9,GOOD,Retirement Attitudes
aspiring_communities,Fuel consumption is the most important feature whe...,Fuel consumption,25.0,13.4,11.6,POOR,Transport
aspiring_communities,Healthy Eating,Healthy eating,40.0,38.1,1.9,EXCELLENT,Health Behavior
aspiring_communities,I am very good at managing money,Money management,50.0,58.0,8.0,FAIR,Financial Confidence
aspiring_communities,I don't like the idea of being in debt,Debt aversion,45.0,43.1,1.9,EXCELLENT,Debt Attitudes
aspiring_communities,I like to use cash when making purchases,Cash preference,55.0,30.5,24.5,POOR,Payment Preferences
aspiring_communities,I think brands should consider environmental susta...,Environmental sustainability,30.0,26.5,3.5,GOOD,Environmental Attitudes
aspiring_communities,It is important to be well insured for everything,Insurance importance,25.0,10.5,14.5,POOR,Other
aspiring_communities,Make an effort to cut down on the use of gas / ele...,Energy saving,65.0,73.3,8.3,FAIR,Energy Behavior
aspiring_communities,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.7,6.3,FAIR,Switching Behavior
cash-strapped_families,Financial security after retirement is your own re...,Retirement responsibility,45.0,47.6,2.6,EXCELLENT,Retirement Attitudes
cash-strapped_families,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,18.9,3.9,GOOD,Transport
cash-strapped_families,Healthy Eating,Healthy eating,40.0,31.4,8.6,FAIR,Health Behavior
cash-strapped_families,I am very good at managing money,Money management,45.0,48.7,3.7,GOOD,Financial Confidence
cash-strapped_families,I don't like the idea of being in debt,Debt aversion,45.0,43.9,1.1,EXCELLENT,Debt Attitudes
cash-strapped_families,I like to use cash when making purchases,Cash preference,55.0,41.3,13.7,POOR,Payment Preferences
cash-strapped_families,I think brands should consider environmental susta...,Environmental sustainability,30.0,27.1,2.9,EXCELLENT,Environmental Attitudes
cash-strapped_families,It is important to be well insured for everything,Insurance importance,25.0,12.4,12.6,POOR,Other
cash-strapped_families,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,72.4,2.6,EXCELLENT,Energy Behavior
cash-strapped_families,Switching utilities suppliers is well worth the ef...,Switching providers,35.0,31.5,3.5,GOOD,Switching Behavior
challenging_circumstances,Financial security after retirement is your own re...,Retirement responsibility,50.0,49.7,0.3,EXCELLENT,Retirement Attitudes
challenging_circumstances,Fuel consumption is the most important feature whe...,Fuel consumption,25.0,18.9,6.1,FAIR,Transport
challenging_circumstances,Healthy Eating,Healthy eating,40.0,33.0,7.0,FAIR,Health Behavior
challenging_circumstances,I am very good at managing money,Money management,45.0,46.7,1.7,EXCELLENT,Financial Confidence
challenging_circumstances,I don't like the idea of being in debt,Debt aversion,45.0,41.5,3.5,GOOD,Debt Attitudes
challenging_circumstances,I like to use cash when making purchases,Cash preference,55.0,50.4,4.6,GOOD,Payment Preferences
