class,class_r2,question,question_short,predicted,actual,error
aspiring_communities,0.6984511182905166,Financial security after retirement is your own re...,Retirement responsibility,58.0,62.9,4.9
aspiring_communities,0.6984511182905166,Fuel consumption is the most important feature whe...,Fuel consumption,25.0,13.4,11.6
aspiring_communities,0.6984511182905166,Healthy Eating,Healthy eating,40.0,38.1,1.9
aspiring_communities,0.6984511182905166,I am very good at managing money,Money management,50.0,58.0,8.0
aspiring_communities,0.6984511182905166,I don't like the idea of being in debt,Debt aversion,45.0,43.1,1.9
aspiring_communities,0.6984511182905166,I like to use cash when making purchases,Cash preference,55.0,30.5,24.5
aspiring_communities,0.6984511182905166,I think brands should consider environmental susta...,Environmental sustainability,30.0,26.5,3.5
aspiring_communities,0.6984511182905166,It is important to be well insured for everything,Insurance importance,25.0,10.5,14.5
aspiring_communities,0.6984511182905166,Make an effort to cut down on the use of gas / ele...,Energy saving,65.0,73.3,8.3
aspiring_communities,0.6984511182905166,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.7,6.3
cash-strapped_families,0.8176582915631504,Financial security after retirement is your own re...,Retirement responsibility,45.0,47.6,2.6
cash-strapped_families,0.8176582915631504,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,18.9,3.9
cash-strapped_families,0.8176582915631504,Healthy Eating,Healthy eating,40.0,31.4,8.6
cash-strapped_families,0.8176582915631504,I am very good at managing money,Money management,45.0,48.7,3.7
cash-strapped_families,0.8176582915631504,I don't like the idea of being in debt,Debt aversion,45.0,43.9,1.1
cash-strapped_families,0.8176582915631504,I like to use cash when making purchases,Cash preference,55.0,41.3,13.7
cash-strapped_families,0.8176582915631504,I think brands should consider environmental susta...,Environmental sustainability,30.0,27.1,2.9
cash-strapped_families,0.8176582915631504,It is important to be well insured for everything,Insurance importance,25.0,12.4,12.6
cash-strapped_families,0.8176582915631504,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,72.4,2.6
cash-strapped_families,0.8176582915631504,Switching utilities suppliers is well worth the ef...,Switching providers,35.0,31.5,3.5
challenging_circumstances,0.8361011868080748,Financial security after retirement is your own re...,Retirement responsibility,50.0,49.7,0.3
challenging_circumstances,0.8361011868080748,Fuel consumption is the most important feature whe...,Fuel consumption,25.0,18.9,6.1
challenging_circumstances,0.8361011868080748,Healthy Eating,Healthy eating,40.0,33.0,7.0
challenging_circumstances,0.8361011868080748,I am very good at managing money,Money management,45.0,46.7,1.7
challenging_circumstances,0.8361011868080748,I don't like the idea of being in debt,Debt aversion,45.0,41.5,3.5
challenging_circumstances,0.8361011868080748,I like to use cash when making purchases,Cash preference,55.0,50.4,4.6
challenging_circumstances,0.8361011868080748,I think brands should consider environmental susta...,Environmental sustainability,30.0,26.1,3.9
challenging_circumstances,0.8361011868080748,It is important to be well insured for everything,Insurance importance,25.0,12.1,12.9
challenging_circumstances,0.8361011868080748,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,70.7,4.3
challenging_circumstances,0.8361011868080748,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,28.8,11.2
commuter-belt_wealth,0.9519180335080589,Financial security after retirement is your own re...,Retirement responsibility,58.0,68.4,10.4
commuter-belt_wealth,0.9519180335080589,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,11.7,3.3
commuter-belt_wealth,0.9519180335080589,Healthy Eating,Healthy eating,45.0,41.8,3.2
commuter-belt_wealth,0.9519180335080589,I am very good at managing money,Money management,65.0,63.7,1.3
commuter-belt_wealth,0.9519180335080589,I don't like the idea of being in debt,Debt aversion,45.0,43.1,1.9
commuter-belt_wealth,0.9519180335080589,I like to use cash when making purchases,Cash preference,35.0,28.5,6.5
commuter-belt_wealth,0.9519180335080589,I think brands should consider environmental susta...,Environmental sustainability,30.0,26.0,4.0
commuter-belt_wealth,0.9519180335080589,It is important to be well insured for everything,Insurance importance,12.0,11.2,0.8
commuter-belt_wealth,0.9519180335080589,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,76.9,1.9
commuter-belt_wealth,0.9519180335080589,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,34.5,5.5
constrained_penisoners,0.7611425091442571,Financial security after retirement is your own re...,Retirement responsibility,45.0,50.2,5.2
constrained_penisoners,0.7611425091442571,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,19.0,4.0
constrained_penisoners,0.7611425091442571,Healthy Eating,Healthy eating,40.0,33.1,6.9
constrained_penisoners,0.7611425091442571,I am very good at managing money,Money management,45.0,48.7,3.7
constrained_penisoners,0.7611425091442571,I don't like the idea of being in debt,Debt aversion,55.0,41.1,13.9
constrained_penisoners,0.7611425091442571,I like to use cash when making purchases,Cash preference,55.0,44.1,10.9
constrained_penisoners,0.7611425091442571,I think brands should consider environmental susta...,Environmental sustainability,30.0,21.4,8.6
constrained_penisoners,0.7611425091442571,It is important to be well insured for everything,Insurance importance,25.0,11.0,14.0
constrained_penisoners,0.7611425091442571,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,72.4,2.6
constrained_penisoners,0.7611425091442571,Switching utilities suppliers is well worth the ef...,Switching providers,25.0,28.7,3.7
family_renters,0.724001472365758,Financial security after retirement is your own re...,Retirement responsibility,56.0,56.2,0.2
family_renters,0.724001472365758,Fuel consumption is the most important feature whe...,Fuel consumption,25.0,14.8,10.2
family_renters,0.724001472365758,Healthy Eating,Healthy eating,40.0,33.9,6.1
family_renters,0.724001472365758,I am very good at managing money,Money management,40.0,51.0,11.0
family_renters,0.724001472365758,I don't like the idea of being in debt,Debt aversion,45.0,44.7,0.3
family_renters,0.724001472365758,I like to use cash when making purchases,Cash preference,55.0,36.4,18.6
family_renters,0.724001472365758,I think brands should consider environmental susta...,Environmental sustainability,30.0,24.9,5.1
family_renters,0.724001472365758,It is important to be well insured for everything,Insurance importance,25.0,12.5,12.5
family_renters,0.724001472365758,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,72.3,2.7
family_renters,0.724001472365758,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,31.7,8.3
flourishing_capital,0.9029110230103863,Financial security after retirement is your own re...,Retirement responsibility,58.0,63.7,5.7
flourishing_capital,0.9029110230103863,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,14.1,0.9
flourishing_capital,0.9029110230103863,Healthy Eating,Healthy eating,45.0,50.1,5.1
flourishing_capital,0.9029110230103863,I am very good at managing money,Money management,65.0,56.4,8.6
flourishing_capital,0.9029110230103863,I don't like the idea of being in debt,Debt aversion,45.0,42.3,2.7
flourishing_capital,0.9029110230103863,I like to use cash when making purchases,Cash preference,35.0,39.9,4.9
flourishing_capital,0.9029110230103863,I think brands should consider environmental susta...,Environmental sustainability,40.0,31.0,9.0
flourishing_capital,0.9029110230103863,It is important to be well insured for everything,Insurance importance,12.0,15.6,3.6
flourishing_capital,0.9029110230103863,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,71.3,3.7
flourishing_capital,0.9029110230103863,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,33.2,6.8
hard-up_households,0.8292132791729572,Financial security after retirement is your own re...,Retirement responsibility,45.0,55.0,10.0
hard-up_households,0.8292132791729572,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,16.5,1.5
hard-up_households,0.8292132791729572,Healthy Eating,Healthy eating,35.0,31.6,3.4
hard-up_households,0.8292132791729572,I am very good at managing money,Money management,45.0,51.5,6.5
hard-up_households,0.8292132791729572,I don't like the idea of being in debt,Debt aversion,45.0,44.4,0.6
hard-up_households,0.8292132791729572,I like to use cash when making purchases,Cash preference,55.0,41.9,13.1
hard-up_households,0.8292132791729572,I think brands should consider environmental susta...,Environmental sustainability,30.0,24.8,5.2
hard-up_households,0.8292132791729572,It is important to be well insured for everything,Insurance importance,25.0,11.9,13.1
hard-up_households,0.8292132791729572,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,73.1,1.9
hard-up_households,0.8292132791729572,Switching utilities suppliers is well worth the ef...,Switching providers,35.0,32.2,2.8
mature_success,0.9156316394998278,Financial security after retirement is your own re...,Retirement responsibility,58.0,67.4,9.4
mature_success,0.9156316394998278,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,12.5,2.5
mature_success,0.9156316394998278,Healthy Eating,Healthy eating,45.0,40.8,4.2
mature_success,0.9156316394998278,I am very good at managing money,Money management,65.0,64.5,0.5
mature_success,0.9156316394998278,I don't like the idea of being in debt,Debt aversion,45.0,41.3,3.7
mature_success,0.9156316394998278,I like to use cash when making purchases,Cash preference,35.0,31.5,3.5
mature_success,0.9156316394998278,I think brands should consider environmental susta...,Environmental sustainability,30.0,22.5,7.5
mature_success,0.9156316394998278,It is important to be well insured for everything,Insurance importance,25.0,11.0,14.0
mature_success,0.9156316394998278,Make an effort to cut down on the use of gas / ele...,Energy saving,75.0,77.1,2.1
mature_success,0.9156316394998278,Switching utilities suppliers is well worth the ef...,Switching providers,35.0,32.4,2.6
metropolitan_surroundings,0.8753691812187695,Financial security after retirement is your own re...,Retirement responsibility,54.0,55.1,1.1
metropolitan_surroundings,0.8753691812187695,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,16.6,1.6
metropolitan_surroundings,0.8753691812187695,Healthy Eating,Healthy eating,45.0,39.5,5.5
metropolitan_surroundings,0.8753691812187695,I am very good at managing money,Money management,55.0,53.6,1.4
metropolitan_surroundings,0.8753691812187695,I don't like the idea of being in debt,Debt aversion,45.0,44.1,0.9
metropolitan_surroundings,0.8753691812187695,I like to use cash when making purchases,Cash preference,45.0,32.5,12.5
metropolitan_surroundings,0.8753691812187695,I think brands should consider environmental susta...,Environmental sustainability,30.0,25.4,4.6
metropolitan_surroundings,0.8753691812187695,It is important to be well insured for everything,Insurance importance,12.0,12.9,0.9
metropolitan_surroundings,0.8753691812187695,Make an effort to cut down on the use of gas / ele...,Energy saving,70.0,66.4,3.6
metropolitan_surroundings,0.8753691812187695,Switching utilities suppliers is well worth the ef...,Switching providers,40.0,29.4,10.6
not_private_households,0.6443599919517662,Financial security after retirement is your own re...,Retirement responsibility,54.0,51.5,2.5
not_private_households,0.6443599919517662,Fuel consumption is the most important feature whe...,Fuel consumption,15.0,18.7,3.7
not_private_households,0.6443599919517662,Healthy Eating,Healthy eating,45.0,19.6,25.4
